"Logger","Date","Temp"
"Bench3Plot18",2013-07-09,11.04
"Bench3Plot18",2013-07-10,11.14
"Bench3Plot18",2013-07-11,11.78
"Bench3Plot18",2013-07-12,11.36
"Bench3Plot18",2013-07-13,11.77
"Bench3Plot18",2013-07-14,10.71
"Bench3Plot18",2013-07-15,10.91
"Bench3Plot18",2013-07-16,9.97
"Bench3Plot18",2013-07-17,12.82
"Bench3Plot18",2013-07-18,12.79
"Bench3Plot18",2013-07-19,11.79
"Bench3Plot18",2013-07-20,11.25
"Bench3Plot18",2013-07-21,11.37
"Bench3Plot18",2013-07-22,11.34
"Bench3Plot18",2013-07-23,10.21
"Bench3Plot18",2013-07-24,10.16
"Bench3Plot18",2013-07-25,10.65
"Bench3Plot18",2013-07-26,11.1
"Bench3Plot18",2013-07-27,11.37
"Bench3Plot18",2013-07-28,10.68
"Bench3Plot18",2013-07-29,10.81
"Bench3Plot18",2013-07-30,11.28
"Bench3Plot18",2013-07-31,11.82
"Bench3Plot18",2013-08-01,13.41
"Bench3Plot18",2013-08-02,13.76
"Bench3Plot18",2013-08-03,12.96
"Bench3Plot18",2013-08-04,10.99
"Bench3Plot18",2013-08-05,10.68
"Bench3Plot18",2013-08-06,10.54
"Bench3Plot18",2013-08-07,10.2
"Bench3Plot18",2013-08-08,12.53
"Bench3Plot18",2013-08-09,10.87
"Bench3Plot18",2013-08-10,10.59
"Bench3Plot18",2013-08-11,12.23
"Bench3Plot18",2013-08-12,13.21
"Bench3Plot18",2013-08-13,13.86
"Bench3Plot18",2013-08-14,13.31
"Bench3Plot18",2013-08-15,14.35
"Bench3Plot18",2013-08-16,15.87
"Bench3Plot18",2013-08-17,15.4
"Bench3Plot18",2013-08-18,14.15
"Bench3Plot18",2013-08-19,13.28
"Bench3Plot18",2013-08-20,12.02
"Bench3Plot18",2013-08-21,11.13
"Bench3Plot18",2013-08-22,10.93
"Bench3Plot18",2013-08-23,13.24
"Bench3Plot18",2013-08-24,12.58
"Bench3Plot18",2013-08-25,11.8
"Bench3Plot18",2013-08-26,13.79
"Bench3Plot18",2013-08-27,15.06
"Bench3Plot18",2013-08-28,15.4
"Bench3Plot18",2013-08-29,15.29
"Bench3Plot18",2013-08-30,15.01
"Bench3Plot18",2013-08-31,13.95
"Bench3Plot18",2013-09-01,15.34
"Bench3Plot18",2013-09-02,17.07
"Bench3Plot18",2013-09-03,16.7
"Bench3Plot18",2013-09-04,17.74
"Bench3Plot18",2013-09-05,16
"Bench3Plot18",2013-09-06,16.69
"Bench3Plot18",2013-09-07,16.46
"Bench3Plot18",2013-09-08,15.69
"Bench3Plot18",2013-09-09,14.53
"Bench3Plot18",2013-09-10,13.24
"Bench3Plot18",2013-09-11,13.86
"Bench3Plot18",2013-09-12,14.03
"Bench3Plot18",2013-09-13,13.92
"Bench3Plot18",2013-09-14,13.43
"Bench3Plot18",2013-09-15,13.58
"Bench3Plot18",2013-09-16,15.74
"Bench3Plot18",2013-09-17,15.88
"Bench3Plot18",2013-09-18,14.79
"Bench3Plot18",2013-09-19,14.23
"Bench3Plot18",2013-09-20,14.26
"Bench3Plot18",2013-09-21,14.41
"Bench3Plot18",2013-09-22,14.63
"Bench3Plot18",2013-09-23,14.82
"Bench3Plot18",2013-09-24,14.47
"Bench3Plot18",2013-09-25,14.44
"Bench3Plot18",2013-09-26,14.11
"Bench3Plot18",2013-09-27,13.31
"Bench3Plot18",2013-09-28,14.86
"Bench3Plot18",2013-09-29,14.96
"Bench3Plot18",2013-09-30,14.99
"Bench3Plot18",2013-10-01,14.93
"Bench3Plot18",2013-10-02,13.96
"Bench3Plot18",2013-10-03,13.79
"Bench3Plot18",2013-10-04,13.21
"Bench3Plot18",2013-10-05,14.22
"Bench3Plot18",2013-10-06,13.99
"Bench3Plot18",2013-10-07,14.12
"Bench3Plot18",2013-10-08,13.23
"Bench3Plot18",2013-10-09,12.84
"Bench3Plot18",2013-10-10,12.93
"Bench3Plot18",2013-10-11,12.62
"Bench3Plot18",2013-10-12,12.8
"Bench3Plot18",2013-10-13,13.02
"Bench3Plot18",2013-10-14,12.66
"Bench3Plot18",2013-10-15,12.16
"Bench3Plot18",2013-10-16,11.24
"Bench3Plot18",2013-10-17,10.68
"Bench3Plot18",2013-10-18,11.17
"Bench3Plot18",2013-10-19,10.57
"Bench3Plot18",2013-10-20,10.17
"Bench3Plot18",2013-10-21,9.57
"Bench3Plot18",2013-10-22,10.2
"Bench3Plot18",2013-10-23,10.2
"Bench3Plot18",2013-10-24,10.41
"Bench3Plot18",2013-10-25,10.56
"Bench3Plot18",2013-10-26,10.99
"Bench3Plot18",2013-10-27,9.94
"Bench3Plot18",2013-10-28,9.45
"Bench3Plot18",2013-10-29,9.39
"Bench3Plot18",2013-10-30,9.07
"Bench3Plot18",2013-10-31,10.23
"Bench3Plot18",2013-11-01,10.76
"Bench3Plot18",2013-11-02,10.48
"Bench3Plot18",2013-11-03,9.28
"Bench3Plot18",2013-11-04,9.85
"Bench3Plot18",2013-11-05,10.56
"Bench3Plot18",2013-11-06,10.78
"Bench3Plot18",2013-11-07,10.16
"Bench3Plot18",2013-11-08,10.04
