"Logger","Month","Temp"
"Bench3Plot18","2013-10",11.75
"Bench3Plot18","2013-11",10.12
"Bench3Plot18","2013-12",7.7
"Bench3Plot18","2013-7",11.23
"Bench3Plot18","2013-8",12.98
"Bench3Plot18","2013-9",14.94
"Bench3Plot18","2014-1",8.88
"Bench3Plot18","2014-10",14.07
"Bench3Plot18","2014-11",12.6
"Bench3Plot18","2014-12",12.17
"Bench3Plot18","2014-2",9.54
"Bench3Plot18","2014-3",11.31
"Bench3Plot18","2014-4",11.51
"Bench3Plot18","2014-5",13.81
"Bench3Plot18","2014-6",12.55
"Bench3Plot18","2014-7",12.38
"Bench3Plot18","2014-8",12.03
"Bench3Plot18","2014-9",13.21
"Bench3Plot18","2015-1",11.85
"Bench3Plot18","2015-2",12.08
"Bench3Plot18","2015-3",11.99
"Bench3Plot18","2015-4",11.62
"Bench3Plot18","2015-5",10.99
"Bench3Plot18","2015-6",11.63
"Bench3Plot18","2015-7",14.4
"Bench3Plot18","2015-8",13.39
"HighBarnacleBench","2013-10",11.6
"HighBarnacleBench","2013-11",9.84
"HighBarnacleBench","2013-12",7.26
"HighBarnacleBench","2013-7",11.37
"HighBarnacleBench","2013-8",13.06
"HighBarnacleBench","2013-9",14.81
"HighBarnacleBench","2014-1",8.63
"HighBarnacleBench","2014-10",14.01
"HighBarnacleBench","2014-11",12.46
"HighBarnacleBench","2014-12",11.87
"HighBarnacleBench","2014-2",9.29
"HighBarnacleBench","2014-3",11.07
"HighBarnacleBench","2014-4",11.28
"HighBarnacleBench","2014-5",13.44
"HighBarnacleBench","2014-6",12.58
"HighBarnacleBench","2014-7",12.84
"HighBarnacleBench","2014-8",12.36
"HighBarnacleBench","2014-9",13.21
"HighBarnacleBench","2015-1",11.59
"HighBarnacleBench","2015-2",12.01
"HighBarnacleBench","2015-3",11.95
"HighBarnacleBench","2015-4",11.63
"HighBarnacleBench","2015-5",11.13
"HighBarnacleBench","2015-6",11.95
"HighBarnacleBench","2015-7",14.14
"HighBarnacleBench","2015-8",13.56
"HighChannel","2013-10",11.69
"HighChannel","2013-11",10.1
"HighChannel","2013-12",7.81
"HighChannel","2013-7",10.97
"HighChannel","2013-8",12.39
"HighChannel","2013-9",14.63
"HighChannel","2014-1",8.74
"HighChannel","2014-10",13.93
"HighChannel","2014-11",12.91
"HighChannel","2014-12",12.45
"HighChannel","2014-2",9.57
"HighChannel","2014-3",11.08
"HighChannel","2014-4",11.18
"HighChannel","2014-5",13.18
"HighChannel","2014-6",12.21
"HighChannel","2014-7",12.35
"HighChannel","2014-8",11.77
"HighChannel","2014-9",12.92
"HighChannel","2015-1",11.98
"HighChannel","2015-2",12.15
"HighChannel","2015-3",12.12
"HighChannel","2015-4",11.81
"HighChannel","2015-5",10.88
"HighChannel","2015-6",11.62
"HighChannel","2015-7",14.03
"HighChannel","2015-8",13.39
"LowBarnacleBench","2013-10",11.72
"LowBarnacleBench","2013-11",10.22
"LowBarnacleBench","2013-12",8.05
"LowBarnacleBench","2013-7",10.63
"LowBarnacleBench","2013-8",12.06
"LowBarnacleBench","2013-9",14.48
"LowBarnacleBench","2014-1",8.81
"LowBarnacleBench","2014-10",14.01
"LowBarnacleBench","2014-11",13.13
"LowBarnacleBench","2014-12",12.39
"LowBarnacleBench","2014-2",9.6
"LowBarnacleBench","2014-3",11.14
"LowBarnacleBench","2014-4",11.18
"LowBarnacleBench","2014-5",13.04
"LowBarnacleBench","2014-6",11.9
"LowBarnacleBench","2014-7",11.96
"LowBarnacleBench","2014-8",11.39
"LowBarnacleBench","2014-9",12.81
"LowBarnacleBench","2015-1",11.97
"LowBarnacleBench","2015-2",12.2
"LowBarnacleBench","2015-3",12.1
"LowBarnacleBench","2015-4",11.8
"LowBarnacleBench","2015-5",10.84
"LowBarnacleBench","2015-6",11.4
"LowBarnacleBench","2015-7",13.63
"LowBarnacleBench","2015-8",13
"LowChannel","2013-10",11.82
"LowChannel","2013-11",10.29
"LowChannel","2013-12",8.21
"LowChannel","2013-7",10.15
"LowChannel","2013-8",11.62
"LowChannel","2013-9",14.43
"LowChannel","2014-1",8.79
"LowChannel","2014-2",9.72
"LowChannel","2014-3",11.06
"LowChannel","2014-4",11.07
"LowChannel","2014-5",12.82
"LowChannel","2014-6",10.32
