"Logger","Week","Temp"
"HighBarnacleBench","2013-28",11.29
"HighBarnacleBench","2013-29",12.06
"HighBarnacleBench","2013-30",10.59
"HighBarnacleBench","2013-31",12.32
"HighBarnacleBench","2013-32",11.37
"HighBarnacleBench","2013-33",14.72
"HighBarnacleBench","2013-34",12.1
"HighBarnacleBench","2013-35",15.27
"HighBarnacleBench","2013-36",16.11
"HighBarnacleBench","2013-37",13.73
"HighBarnacleBench","2013-38",14.58
"HighBarnacleBench","2013-39",14.5
"HighBarnacleBench","2013-40",13.95
"HighBarnacleBench","2013-41",12.75
"HighBarnacleBench","2013-42",10.56
"HighBarnacleBench","2013-43",10.1
"HighBarnacleBench","2013-44",9.7
"HighBarnacleBench","2013-45",10.45
"HighBarnacleBench","2013-46",10.86
"HighBarnacleBench","2013-47",8.14
"HighBarnacleBench","2013-48",9.89
"HighBarnacleBench","2013-49",4.19
"HighBarnacleBench","2013-50",7.79
"HighBarnacleBench","2013-51",8.14
"HighBarnacleBench","2013-52",7.98
"HighBarnacleBench","2013-53",8.28
"HighBarnacleBench","2014-1",7.8
"HighBarnacleBench","2014-10",11.66
"HighBarnacleBench","2014-11",11.03
"HighBarnacleBench","2014-12",10.88
"HighBarnacleBench","2014-13",10.64
"HighBarnacleBench","2014-14",11.7
"HighBarnacleBench","2014-15",10.89
"HighBarnacleBench","2014-16",11.02
"HighBarnacleBench","2014-17",11.42
"HighBarnacleBench","2014-18",13.56
"HighBarnacleBench","2014-19",13.35
"HighBarnacleBench","2014-2",8.99
"HighBarnacleBench","2014-20",14.88
"HighBarnacleBench","2014-21",12.61
"HighBarnacleBench","2014-22",11.71
"HighBarnacleBench","2014-23",11.66
"HighBarnacleBench","2014-24",12.19
"HighBarnacleBench","2014-25",13.2
"HighBarnacleBench","2014-26",14.42
"HighBarnacleBench","2014-27",13.96
"HighBarnacleBench","2014-28",11.68
"HighBarnacleBench","2014-29",11.89
"HighBarnacleBench","2014-3",8.49
"HighBarnacleBench","2014-30",13.58
"HighBarnacleBench","2014-31",12.33
"HighBarnacleBench","2014-32",11.98
"HighBarnacleBench","2014-33",12.77
"HighBarnacleBench","2014-34",12.19
"HighBarnacleBench","2014-35",12.94
"HighBarnacleBench","2014-36",12.33
"HighBarnacleBench","2014-37",11.95
"HighBarnacleBench","2014-38",13.13
"HighBarnacleBench","2014-39",15.17
"HighBarnacleBench","2014-4",9.1
"HighBarnacleBench","2014-40",12.96
"HighBarnacleBench","2014-41",13.33
"HighBarnacleBench","2014-42",14.87
"HighBarnacleBench","2014-43",14.4
"HighBarnacleBench","2014-44",14.66
"HighBarnacleBench","2014-45",13.58
"HighBarnacleBench","2014-46",9.73
"HighBarnacleBench","2014-47",12.8
"HighBarnacleBench","2014-48",12.32
"HighBarnacleBench","2014-49",12.76
"HighBarnacleBench","2014-5",8.38
"HighBarnacleBench","2014-50",12.34
"HighBarnacleBench","2014-51",12.81
"HighBarnacleBench","2014-52",10.91
"HighBarnacleBench","2014-53",3.8
"HighBarnacleBench","2014-6",7.47
"HighBarnacleBench","2014-7",9.9
"HighBarnacleBench","2014-8",10.58
"HighBarnacleBench","2014-9",10.88
"HighBarnacleBench","2015-1",10.74
"HighBarnacleBench","2015-10",11.09
"HighBarnacleBench","2015-11",12.55
"HighBarnacleBench","2015-12",11.98
"HighBarnacleBench","2015-13",13.11
"HighBarnacleBench","2015-14",11.38
"HighBarnacleBench","2015-15",12.63
"HighBarnacleBench","2015-16",10.83
"HighBarnacleBench","2015-17",11.63
"HighBarnacleBench","2015-18",11.15
"HighBarnacleBench","2015-19",11.53
"HighBarnacleBench","2015-2",11.37
"HighBarnacleBench","2015-20",10.92
"HighBarnacleBench","2015-21",11.41
"HighBarnacleBench","2015-22",11.2
"HighBarnacleBench","2015-23",11.71
"HighBarnacleBench","2015-24",10.56
"HighBarnacleBench","2015-25",13.34
"HighBarnacleBench","2015-26",11.98
"HighBarnacleBench","2015-27",13.35
"HighBarnacleBench","2015-28",15.03
"HighBarnacleBench","2015-29",14.45
"HighBarnacleBench","2015-3",11.66
"HighBarnacleBench","2015-30",14.75
"HighBarnacleBench","2015-31",12.17
"HighBarnacleBench","2015-32",14.55
"HighBarnacleBench","2015-33",14.85
"HighBarnacleBench","2015-34",12.91
"HighBarnacleBench","2015-35",15.19
"HighBarnacleBench","2015-36",15.73
"HighBarnacleBench","2015-37",12.71
"HighBarnacleBench","2015-38",13.17
"HighBarnacleBench","2015-39",11.7
"HighBarnacleBench","2015-4",12.26
"HighBarnacleBench","2015-40",12.74
"HighBarnacleBench","2015-41",13.66
"HighBarnacleBench","2015-42",13.33
"HighBarnacleBench","2015-43",12.93
"HighBarnacleBench","2015-44",13.78
"HighBarnacleBench","2015-45",12.42
"HighBarnacleBench","2015-46",12.53
"HighBarnacleBench","2015-47",10.67
"HighBarnacleBench","2015-48",10.08
"HighBarnacleBench","2015-49",12.18
"HighBarnacleBench","2015-5",12.18
"HighBarnacleBench","2015-50",11.73
"HighBarnacleBench","2015-51",11.39
"HighBarnacleBench","2015-52",9.42
"HighBarnacleBench","2015-53",8.43
"HighBarnacleBench","2015-6",12.38
"HighBarnacleBench","2015-7",12.44
"HighBarnacleBench","2015-8",11.2
"HighBarnacleBench","2015-9",11.02
"HighBarnacleBench","2016-1",9.81
"HighBarnacleBench","2016-10",11.7
"HighBarnacleBench","2016-11",11.6
"HighBarnacleBench","2016-12",11.86
"HighBarnacleBench","2016-13",12.29
"HighBarnacleBench","2016-14",12.58
"HighBarnacleBench","2016-15",13.27
"HighBarnacleBench","2016-16",13.3
"HighBarnacleBench","2016-17",13.39
"HighBarnacleBench","2016-18",12.9
"HighBarnacleBench","2016-19",11.57
"HighBarnacleBench","2016-2",10.63
"HighBarnacleBench","2016-20",11.86
"HighBarnacleBench","2016-21",12.86
"HighBarnacleBench","2016-22",13.94
"HighBarnacleBench","2016-23",11.83
"HighBarnacleBench","2016-24",12.92
"HighBarnacleBench","2016-25",13.6
"HighBarnacleBench","2016-26",12.87
"HighBarnacleBench","2016-27",11.67
"HighBarnacleBench","2016-28",14.61
"HighBarnacleBench","2016-29",13.46
"HighBarnacleBench","2016-3",10.92
"HighBarnacleBench","2016-30",12.98
"HighBarnacleBench","2016-31",11.14
"HighBarnacleBench","2016-32",12.21
"HighBarnacleBench","2016-33",10.96
"HighBarnacleBench","2016-34",11.39
"HighBarnacleBench","2016-35",12.57
"HighBarnacleBench","2016-36",13.82
"HighBarnacleBench","2016-37",11.05
"HighBarnacleBench","2016-38",11.79
"HighBarnacleBench","2016-39",12.02
"HighBarnacleBench","2016-4",11.07
"HighBarnacleBench","2016-40",11.59
