"Month","Temp"
"2013-10",11.72
"2013-11",10.11
"2013-12",7.81
"2013-7",10.87
"2013-8",12.42
"2013-9",14.66
"2014-1",8.77
"2014-10",14
"2014-11",12.77
"2014-12",12.22
"2014-2",9.54
"2014-3",11.13
"2014-4",11.24
"2014-5",13.26
"2014-6",12.18
"2014-7",12.38
"2014-8",11.89
"2014-9",13.04
"2015-1",11.85
"2015-10",13.21
"2015-11",12.1
"2015-12",11.25
"2015-2",12.11
"2015-3",12.04
"2015-4",11.72
"2015-5",10.96
"2015-6",11.65
"2015-7",14.05
"2015-8",13.7
"2015-9",13.38
"2016-1",10.75
"2016-10",12.93
"2016-11",13.69
"2016-12",10.56
"2016-2",11.33
"2016-3",11.91
"2016-4",13.19
"2016-5",12.69
"2016-6",12.94
"2016-7",13.02
"2016-8",11.5
"2016-9",11.91
"2017-1",8.87
"2017-10",11.78
"2017-11",11.2
"2017-12",10.27
"2017-2",10
"2017-3",10.52
"2017-4",11.33
"2017-5",14.23
"2017-6",13.74
"2017-7",12.04
"2017-8",11.08
"2017-9",11.86
"2018-1",10.66
"2018-2",9.94
"2018-3",9.73
"2018-4",10.9
"2018-5",17.24
"2018-6",22.08
