"Week","Temp"
"2013-28",10.93
"2013-29",11.34
"2013-30",10.35
"2013-31",11.5
"2013-32",10.95
"2013-33",13.78
"2013-34",11.77
"2013-35",14.52
"2013-36",15.96
"2013-37",13.4
"2013-38",14.43
"2013-39",14.61
"2013-40",14.18
"2013-41",12.93
"2013-42",10.66
"2013-43",10.05
"2013-44",9.79
"2013-45",10.44
"2013-46",11.02
"2013-47",8.88
"2013-48",10.16
"2013-49",5.45
"2013-50",8.25
"2013-51",8.29
"2013-52",8.49
"2013-53",8.46
"2014-1",7.9
"2014-10",11.65
"2014-11",11.13
"2014-12",10.99
"2014-13",10.75
"2014-14",11.63
"2014-15",10.87
"2014-16",11
"2014-17",11.41
"2014-18",13.38
"2014-19",13.16
"2014-2",9.02
"2014-20",14.7
"2014-21",12.31
"2014-22",11.64
"2014-23",11.21
"2014-24",11.79
"2014-25",12.79
"2014-26",14.08
"2014-27",13.26
"2014-28",11.45
"2014-29",11.46
"2014-3",8.7
"2014-30",13.12
"2014-31",11.76
"2014-32",11.44
"2014-33",12.43
"2014-34",11.71
"2014-35",12.48
"2014-36",12.03
"2014-37",11.78
"2014-38",13.04
"2014-39",15.14
"2014-4",9.36
"2014-40",12.89
"2014-41",13.28
"2014-42",14.9
"2014-43",14.48
"2014-44",14.74
"2014-45",13.76
"2014-46",10.6
"2014-47",12.89
"2014-48",12.62
"2014-49",12.85
"2014-5",8.62
"2014-50",12.63
"2014-51",12.85
"2014-52",11.5
"2014-53",6.37
"2014-6",8.03
"2014-7",9.97
"2014-8",10.72
"2014-9",10.93
"2015-1",11.14
"2015-10",11.14
"2015-11",12.61
"2015-12",12.06
"2015-13",13.19
"2015-14",11.68
"2015-15",12.71
"2015-16",10.82
"2015-17",11.55
"2015-18",11.05
"2015-19",11.34
"2015-2",11.71
"2015-20",10.84
"2015-21",11.27
"2015-22",10.89
"2015-23",11.53
"2015-24",10.36
"2015-25",12.84
"2015-26",11.63
"2015-27",13.32
"2015-28",14.87
"2015-29",14.36
"2015-3",11.84
"2015-30",14.67
"2015-31",12.04
"2015-32",14.26
"2015-4",12.36
"2015-5",12.36
"2015-6",12.43
"2015-7",12.6
"2015-8",11.29
"2015-9",11.27
