"Plot Title: YachatsHighChannel"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485372, SEN S/N: 10485372)","Coupler Detached (LGR S/N: 10485372)","Coupler Attached (LGR S/N: 10485372)","Host Connected (LGR S/N: 10485372)","Stopped (LGR S/N: 10485372)","End Of File (LGR S/N: 10485372)"
1,08/01/16 03:00:00 AM,15.819,Logged,,,,
2,08/01/16 03:15:00 AM,15.461,,,,,
3,08/01/16 03:30:00 AM,15.103,,,,,
4,08/01/16 03:45:00 AM,14.577,,,,,
5,08/01/16 04:00:00 AM,15.247,,,,,
6,08/01/16 04:15:00 AM,15.055,,,,,
7,08/01/16 04:30:00 AM,14.074,,,,,
8,08/01/16 04:45:00 AM,13.666,,,,,
9,08/01/16 05:00:00 AM,13.233,,,,,
10,08/01/16 05:15:00 AM,13.137,,,,,
11,08/01/16 05:30:00 AM,13.064,,,,,
12,08/01/16 05:45:00 AM,12.968,,,,,
13,08/01/16 06:00:00 AM,12.968,,,,,
14,08/01/16 06:15:00 AM,12.678,,,,,
15,08/01/16 06:30:00 AM,15.939,,,,,
16,08/01/16 06:45:00 AM,17.629,,,,,
17,08/01/16 07:00:00 AM,12.847,,,,,
18,08/01/16 07:15:00 AM,11.710,,,,,
19,08/01/16 07:30:00 AM,11.248,,,,,
20,08/01/16 07:45:00 AM,11.832,,,,,
21,08/01/16 08:00:00 AM,12.630,,,,,
22,08/01/16 08:15:00 AM,13.209,,,,,
23,08/01/16 08:30:00 AM,14.050,,,,,
24,08/01/16 08:45:00 AM,14.433,,,,,
25,08/01/16 09:00:00 AM,16.534,,,,,
26,08/01/16 09:15:00 AM,14.673,,,,,
27,08/01/16 09:30:00 AM,9.854,,,,,
28,08/01/16 09:45:00 AM,9.485,,,,,
29,08/01/16 10:00:00 AM,9.706,,,,,
30,08/01/16 10:15:00 AM,9.410,,,,,
31,08/01/16 10:30:00 AM,9.361,,,,,
32,08/01/16 10:45:00 AM,9.485,,,,,
33,08/01/16 11:00:00 AM,9.731,,,,,
34,08/01/16 11:15:00 AM,9.805,,,,,
35,08/01/16 11:30:00 AM,9.854,,,,,
36,08/01/16 11:45:00 AM,9.829,,,,,
37,08/01/16 12:00:00 PM,9.805,,,,,
38,08/01/16 12:15:00 PM,10.001,,,,,
39,08/01/16 12:30:00 PM,10.124,,,,,
40,08/01/16 12:45:00 PM,10.051,,,,,
41,08/01/16 01:00:00 PM,10.320,,,,,
42,08/01/16 01:15:00 PM,10.369,,,,,
43,08/01/16 01:30:00 PM,10.394,,,,,
44,08/01/16 01:45:00 PM,10.541,,,,,
45,08/01/16 02:00:00 PM,10.810,,,,,
46,08/01/16 02:15:00 PM,10.785,,,,,
47,08/01/16 02:30:00 PM,10.883,,,,,
48,08/01/16 02:45:00 PM,11.102,,,,,
49,08/01/16 03:00:00 PM,11.127,,,,,
50,08/01/16 03:15:00 PM,11.589,,,,,
51,08/01/16 03:30:00 PM,13.185,,,,,
52,08/01/16 03:45:00 PM,13.209,,,,,
53,08/01/16 04:00:00 PM,15.748,,,,,
54,08/01/16 04:15:00 PM,16.344,,,,,
55,08/01/16 04:30:00 PM,17.415,,,,,
56,08/01/16 04:45:00 PM,18.771,,,,,
57,08/01/16 05:00:00 PM,19.080,,,,,
58,08/01/16 05:15:00 PM,19.127,,,,,
59,08/01/16 05:30:00 PM,19.056,,,,,
60,08/01/16 05:45:00 PM,18.699,,,,,
61,08/01/16 06:00:00 PM,18.580,,,,,
62,08/01/16 06:15:00 PM,18.081,,,,,
63,08/01/16 06:30:00 PM,17.677,,,,,
64,08/01/16 06:45:00 PM,17.391,,,,,
65,08/01/16 07:00:00 PM,16.082,,,,,
66,08/01/16 07:15:00 PM,13.930,,,,,
67,08/01/16 07:30:00 PM,12.147,,,,,
68,08/01/16 07:45:00 PM,11.516,,,,,
69,08/01/16 08:00:00 PM,10.369,,,,,
70,08/01/16 08:15:00 PM,10.100,,,,,
71,08/01/16 08:30:00 PM,9.977,,,,,
72,08/01/16 08:45:00 PM,9.854,,,,,
73,08/01/16 09:00:00 PM,9.805,,,,,
74,08/01/16 09:15:00 PM,9.805,,,,,
75,08/01/16 09:30:00 PM,9.805,,,,,
76,08/01/16 09:45:00 PM,9.829,,,,,
77,08/01/16 10:00:00 PM,9.805,,,,,
78,08/01/16 10:15:00 PM,9.805,,,,,
79,08/01/16 10:30:00 PM,9.879,,,,,
80,08/01/16 10:45:00 PM,9.928,,,,,
81,08/01/16 11:00:00 PM,9.903,,,,,
82,08/01/16 11:15:00 PM,9.780,,,,,
83,08/01/16 11:30:00 PM,9.706,,,,,
84,08/01/16 11:45:00 PM,9.632,,,,,
85,08/02/16 12:00:00 AM,9.435,,,,,
86,08/02/16 12:15:00 AM,9.361,,,,,
87,08/02/16 12:30:00 AM,9.262,,,,,
88,08/02/16 12:45:00 AM,9.213,,,,,
89,08/02/16 01:00:00 AM,9.213,,,,,
90,08/02/16 01:15:00 AM,9.213,,,,,
91,08/02/16 01:30:00 AM,9.213,,,,,
92,08/02/16 01:45:00 AM,9.139,,,,,
93,08/02/16 02:00:00 AM,9.089,,,,,
94,08/02/16 02:15:00 AM,9.040,,,,,
95,08/02/16 02:30:00 AM,9.015,,,,,
96,08/02/16 02:45:00 AM,8.990,,,,,
97,08/02/16 03:00:00 AM,9.287,,,,,
98,08/02/16 03:15:00 AM,9.312,,,,,
99,08/02/16 03:30:00 AM,8.891,,,,,
100,08/02/16 03:45:00 AM,8.419,,,,,
101,08/02/16 04:00:00 AM,8.543,,,,,
102,08/02/16 04:15:00 AM,9.064,,,,,
103,08/02/16 04:30:00 AM,9.238,,,,,
104,08/02/16 04:45:00 AM,9.509,,,,,
105,08/02/16 05:00:00 AM,9.361,,,,,
106,08/02/16 05:15:00 AM,9.632,,,,,
107,08/02/16 05:30:00 AM,9.485,,,,,
108,08/02/16 05:45:00 AM,8.990,,,,,
109,08/02/16 06:00:00 AM,9.706,,,,,
110,08/02/16 06:15:00 AM,9.188,,,,,
111,08/02/16 06:30:00 AM,8.643,,,,,
112,08/02/16 06:45:00 AM,8.568,,,,,
113,08/02/16 07:00:00 AM,9.064,,,,,
114,08/02/16 07:15:00 AM,10.149,,,,,
115,08/02/16 07:30:00 AM,10.932,,,,,
116,08/02/16 07:45:00 AM,11.637,,,,,
117,08/02/16 08:00:00 AM,11.856,,,,,
118,08/02/16 08:15:00 AM,12.920,,,,,
119,08/02/16 08:30:00 AM,15.652,,,,,
120,08/02/16 08:45:00 AM,17.843,,,,,
121,08/02/16 09:00:00 AM,17.867,,,,,
122,08/02/16 09:15:00 AM,17.034,,,,,
123,08/02/16 09:30:00 AM,20.126,,,,,
124,08/02/16 09:45:00 AM,22.776,,,,,
125,08/02/16 10:00:00 AM,24.992,,,,,
126,08/02/16 10:15:00 AM,22.705,,,,,
127,08/02/16 10:30:00 AM,15.103,,,,,
128,08/02/16 10:45:00 AM,13.594,,,,,
129,08/02/16 11:00:00 AM,10.541,,,,,
130,08/02/16 11:15:00 AM,10.590,,,,,
131,08/02/16 11:30:00 AM,10.173,,,,,
132,08/02/16 11:45:00 AM,10.345,,,,,
133,08/02/16 12:00:00 PM,10.222,,,,,
134,08/02/16 12:15:00 PM,10.516,,,,,
135,08/02/16 12:30:00 PM,10.222,,,,,
136,08/02/16 12:45:00 PM,10.051,,,,,
137,08/02/16 01:00:00 PM,9.977,,,,,
138,08/02/16 01:15:00 PM,10.222,,,,,
139,08/02/16 01:30:00 PM,10.100,,,,,
140,08/02/16 01:45:00 PM,10.418,,,,,
141,08/02/16 02:00:00 PM,10.638,,,,,
142,08/02/16 02:15:00 PM,10.858,,,,,
143,08/02/16 02:30:00 PM,11.248,,,,,
144,08/02/16 02:45:00 PM,11.637,,,,,
145,08/02/16 03:00:00 PM,12.050,,,,,
146,08/02/16 03:15:00 PM,13.305,,,,,
147,08/02/16 03:30:00 PM,12.871,,,,,
148,08/02/16 03:45:00 PM,13.930,,,,,
149,08/02/16 04:00:00 PM,15.318,,,,,
150,08/02/16 04:15:00 PM,16.677,,,,,
151,08/02/16 04:30:00 PM,20.007,,,,,
152,08/02/16 04:45:00 PM,21.676,,,,,
153,08/02/16 05:00:00 PM,22.417,,,,,
154,08/02/16 05:15:00 PM,22.896,,,,,
155,08/02/16 05:30:00 PM,22.657,,,,,
156,08/02/16 05:45:00 PM,22.178,,,,,
157,08/02/16 06:00:00 PM,21.581,,,,,
158,08/02/16 06:15:00 PM,21.461,,,,,
159,08/02/16 06:30:00 PM,21.056,,,,,
160,08/02/16 06:45:00 PM,20.436,,,,,
161,08/02/16 07:00:00 PM,19.651,,,,,
162,08/02/16 07:15:00 PM,18.628,,,,,
163,08/02/16 07:30:00 PM,17.486,,,,,
164,08/02/16 07:45:00 PM,16.320,,,,,
165,08/02/16 08:00:00 PM,15.294,,,,,
166,08/02/16 08:15:00 PM,14.218,,,,,
