"Plot Title: YachatsLowChannel"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485345, SEN S/N: 10485345)","Coupler Detached (LGR S/N: 10485345)","Bad Battery (LGR S/N: 10485345)","Coupler Attached (LGR S/N: 10485345)","Host Connected (LGR S/N: 10485345)","Stopped (LGR S/N: 10485345)","End Of File (LGR S/N: 10485345)"
1,08/01/16 03:00:00 AM,15.939,Logged,,,,,
2,08/01/16 03:15:00 AM,15.700,,,,,,
3,08/01/16 03:30:00 AM,15.294,,,,,,
4,08/01/16 03:45:00 AM,14.936,,,,,,
5,08/01/16 04:00:00 AM,14.840,,,,,,
6,08/01/16 04:15:00 AM,14.385,,,,,,
7,08/01/16 04:30:00 AM,13.882,,,,,,
8,08/01/16 04:45:00 AM,13.594,,,,,,
9,08/01/16 05:00:00 AM,13.281,,,,,,
10,08/01/16 05:15:00 AM,13.064,,,,,,
11,08/01/16 05:30:00 AM,12.944,,,,,,
12,08/01/16 05:45:00 AM,12.847,,,,,,
13,08/01/16 06:00:00 AM,12.847,,,,,,
14,08/01/16 06:15:00 AM,12.751,,,,,,
15,08/01/16 06:30:00 AM,14.505,,,,,,
16,08/01/16 06:45:00 AM,11.443,,,,,,
17,08/01/16 07:00:00 AM,11.297,,,,,,
18,08/01/16 07:15:00 AM,11.029,,,,,,
19,08/01/16 07:30:00 AM,10.834,,,,,,
20,08/01/16 07:45:00 AM,11.540,,,,,,
21,08/01/16 08:00:00 AM,12.098,,,,,,
22,08/01/16 08:15:00 AM,12.678,,,,,,
23,08/01/16 08:30:00 AM,13.233,,,,,,
24,08/01/16 08:45:00 AM,11.370,,,,,,
25,08/01/16 09:00:00 AM,10.467,,,,,,
26,08/01/16 09:15:00 AM,9.336,,,,,,
27,08/01/16 09:30:00 AM,8.891,,,,,,
28,08/01/16 09:45:00 AM,8.965,,,,,,
29,08/01/16 10:00:00 AM,9.188,,,,,,
30,08/01/16 10:15:00 AM,9.089,,,,,,
31,08/01/16 10:30:00 AM,9.089,,,,,,
32,08/01/16 10:45:00 AM,9.238,,,,,,
33,08/01/16 11:00:00 AM,9.287,,,,,,
34,08/01/16 11:15:00 AM,9.312,,,,,,
35,08/01/16 11:30:00 AM,9.435,,,,,,
36,08/01/16 11:45:00 AM,9.410,,,,,,
37,08/01/16 12:00:00 PM,9.435,,,,,,
38,08/01/16 12:15:00 PM,9.583,,,,,,
39,08/01/16 12:30:00 PM,9.682,,,,,,
40,08/01/16 12:45:00 PM,9.657,,,,,,
41,08/01/16 01:00:00 PM,9.805,,,,,,
42,08/01/16 01:15:00 PM,9.903,,,,,,
43,08/01/16 01:30:00 PM,9.952,,,,,,
44,08/01/16 01:45:00 PM,10.100,,,,,,
45,08/01/16 02:00:00 PM,10.271,,,,,,
46,08/01/16 02:15:00 PM,10.369,,,,,,
47,08/01/16 02:30:00 PM,10.418,,,,,,
48,08/01/16 02:45:00 PM,10.565,,,,,,
49,08/01/16 03:00:00 PM,10.785,,,,,,
50,08/01/16 03:15:00 PM,10.883,,,,,,
51,08/01/16 03:30:00 PM,11.102,,,,,,
52,08/01/16 03:45:00 PM,11.248,,,,,,
53,08/01/16 04:00:00 PM,11.759,,,,,,
54,08/01/16 04:15:00 PM,12.122,,,,,,
55,08/01/16 04:30:00 PM,12.534,,,,,,
56,08/01/16 04:45:00 PM,12.606,,,,,,
57,08/01/16 05:00:00 PM,13.401,,,,,,
58,08/01/16 05:15:00 PM,14.409,,,,,,
59,08/01/16 05:30:00 PM,14.098,,,,,,
60,08/01/16 05:45:00 PM,14.577,,,,,,
61,08/01/16 06:00:00 PM,14.385,,,,,,
62,08/01/16 06:15:00 PM,13.690,,,,,,
63,08/01/16 06:30:00 PM,12.630,,,,,,
64,08/01/16 06:45:00 PM,11.467,,,,,,
65,08/01/16 07:00:00 PM,11.224,,,,,,
66,08/01/16 07:15:00 PM,10.956,,,,,,
67,08/01/16 07:30:00 PM,10.173,,,,,,
68,08/01/16 07:45:00 PM,10.001,,,,,,
69,08/01/16 08:00:00 PM,10.001,,,,,,
70,08/01/16 08:15:00 PM,9.977,,,,,,
71,08/01/16 08:30:00 PM,9.952,,,,,,
72,08/01/16 08:45:00 PM,9.829,,,,,,
73,08/01/16 09:00:00 PM,9.780,,,,,,
74,08/01/16 09:15:00 PM,9.805,,,,,,
75,08/01/16 09:30:00 PM,9.805,,,,,,
76,08/01/16 09:45:00 PM,9.829,,,,,,
77,08/01/16 10:00:00 PM,9.780,,,,,,
78,08/01/16 10:15:00 PM,9.829,,,,,,
79,08/01/16 10:30:00 PM,9.879,,,,,,
80,08/01/16 10:45:00 PM,9.928,,,,,,
81,08/01/16 11:00:00 PM,9.928,,,,,,
82,08/01/16 11:15:00 PM,9.805,,,,,,
83,08/01/16 11:30:00 PM,9.756,,,,,,
84,08/01/16 11:45:00 PM,9.657,,,,,,
85,08/02/16 12:00:00 AM,9.460,,,,,,
86,08/02/16 12:15:00 AM,9.361,,,,,,
87,08/02/16 12:30:00 AM,9.287,,,,,,
88,08/02/16 12:45:00 AM,9.238,,,,,,
89,08/02/16 01:00:00 AM,9.238,,,,,,
90,08/02/16 01:15:00 AM,9.238,,,,,,
91,08/02/16 01:30:00 AM,9.213,,,,,,
92,08/02/16 01:45:00 AM,9.163,,,,,,
93,08/02/16 02:00:00 AM,9.114,,,,,,
94,08/02/16 02:15:00 AM,9.064,,,,,,
95,08/02/16 02:30:00 AM,9.040,,,,,,
96,08/02/16 02:45:00 AM,8.965,,,,,,
97,08/02/16 03:00:00 AM,8.990,,,,,,
98,08/02/16 03:15:00 AM,8.990,,,,,,
99,08/02/16 03:30:00 AM,8.866,,,,,,
100,08/02/16 03:45:00 AM,8.519,,,,,,
101,08/02/16 04:00:00 AM,8.593,,,,,,
102,08/02/16 04:15:00 AM,9.040,,,,,,
103,08/02/16 04:30:00 AM,9.188,,,,,,
104,08/02/16 04:45:00 AM,9.386,,,,,,
105,08/02/16 05:00:00 AM,9.287,,,,,,
106,08/02/16 05:15:00 AM,9.460,,,,,,
107,08/02/16 05:30:00 AM,9.361,,,,,,
108,08/02/16 05:45:00 AM,8.866,,,,,,
109,08/02/16 06:00:00 AM,9.410,,,,,,
