"Plot Title: YachatsPatchBF"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485376, SEN S/N: 10485376)","Coupler Detached (LGR S/N: 10485376)","Coupler Attached (LGR S/N: 10485376)","Host Connected (LGR S/N: 10485376)","Stopped (LGR S/N: 10485376)","End Of File (LGR S/N: 10485376)"
1,08/01/16 03:00:00 AM,16.225,Logged,,,,
2,08/01/16 03:15:00 AM,15.939,,,,,
3,08/01/16 03:30:00 AM,15.533,,,,,
4,08/01/16 03:45:00 AM,15.533,,,,,
5,08/01/16 04:00:00 AM,15.891,,,,,
6,08/01/16 04:15:00 AM,15.366,,,,,
7,08/01/16 04:30:00 AM,14.505,,,,,
8,08/01/16 04:45:00 AM,13.930,,,,,
9,08/01/16 05:00:00 AM,13.425,,,,,
10,08/01/16 05:15:00 AM,13.185,,,,,
11,08/01/16 05:30:00 AM,13.016,,,,,
12,08/01/16 05:45:00 AM,12.896,,,,,
13,08/01/16 06:00:00 AM,12.871,,,,,
14,08/01/16 06:15:00 AM,12.727,,,,,
15,08/01/16 06:30:00 AM,16.487,,,,,
16,08/01/16 06:45:00 AM,17.534,,,,,
17,08/01/16 07:00:00 AM,14.505,,,,,
18,08/01/16 07:15:00 AM,11.856,,,,,
19,08/01/16 07:30:00 AM,11.273,,,,,
20,08/01/16 07:45:00 AM,12.509,,,,,
21,08/01/16 08:00:00 AM,12.944,,,,,
22,08/01/16 08:15:00 AM,13.209,,,,,
23,08/01/16 08:30:00 AM,13.930,,,,,
24,08/01/16 08:45:00 AM,13.834,,,,,
25,08/01/16 09:00:00 AM,14.601,,,,,
26,08/01/16 09:15:00 AM,12.413,,,,,
27,08/01/16 09:30:00 AM,10.443,,,,,
28,08/01/16 09:45:00 AM,10.296,,,,,
29,08/01/16 10:00:00 AM,10.932,,,,,
30,08/01/16 10:15:00 AM,10.100,,,,,
31,08/01/16 10:30:00 AM,9.731,,,,,
32,08/01/16 10:45:00 AM,9.805,,,,,
33,08/01/16 11:00:00 AM,10.075,,,,,
34,08/01/16 11:15:00 AM,9.903,,,,,
35,08/01/16 11:30:00 AM,10.247,,,,,
36,08/01/16 11:45:00 AM,10.320,,,,,
37,08/01/16 12:00:00 PM,10.198,,,,,
38,08/01/16 12:15:00 PM,10.418,,,,,
39,08/01/16 12:30:00 PM,10.516,,,,,
40,08/01/16 12:45:00 PM,10.394,,,,,
41,08/01/16 01:00:00 PM,10.590,,,,,
42,08/01/16 01:15:00 PM,10.638,,,,,
43,08/01/16 01:30:00 PM,10.785,,,,,
44,08/01/16 01:45:00 PM,10.858,,,,,
45,08/01/16 02:00:00 PM,11.248,,,,,
46,08/01/16 02:15:00 PM,11.273,,,,,
47,08/01/16 02:30:00 PM,11.224,,,,,
48,08/01/16 02:45:00 PM,11.516,,,,,
49,08/01/16 03:00:00 PM,12.413,,,,,
50,08/01/16 03:15:00 PM,12.437,,,,,
51,08/01/16 03:30:00 PM,13.401,,,,,
52,08/01/16 03:45:00 PM,13.161,,,,,
53,08/01/16 04:00:00 PM,13.522,,,,,
54,08/01/16 04:15:00 PM,14.553,,,,,
55,08/01/16 04:30:00 PM,15.151,,,,,
56,08/01/16 04:45:00 PM,15.557,,,,,
57,08/01/16 05:00:00 PM,15.605,,,,,
58,08/01/16 05:15:00 PM,15.891,,,,,
59,08/01/16 05:30:00 PM,15.986,,,,,
60,08/01/16 05:45:00 PM,15.939,,,,,
61,08/01/16 06:00:00 PM,15.819,,,,,
62,08/01/16 06:15:00 PM,15.581,,,,,
63,08/01/16 06:30:00 PM,15.151,,,,,
64,08/01/16 06:45:00 PM,14.433,,,,,
65,08/01/16 07:00:00 PM,14.601,,,,,
66,08/01/16 07:15:00 PM,13.834,,,,,
67,08/01/16 07:30:00 PM,12.630,,,,,
68,08/01/16 07:45:00 PM,12.025,,,,,
69,08/01/16 08:00:00 PM,10.810,,,,,
70,08/01/16 08:15:00 PM,10.516,,,,,
71,08/01/16 08:30:00 PM,10.516,,,,,
72,08/01/16 08:45:00 PM,10.198,,,,,
73,08/01/16 09:00:00 PM,10.051,,,,,
74,08/01/16 09:15:00 PM,9.977,,,,,
75,08/01/16 09:30:00 PM,9.977,,,,,
76,08/01/16 09:45:00 PM,9.977,,,,,
77,08/01/16 10:00:00 PM,9.928,,,,,
78,08/01/16 10:15:00 PM,10.026,,,,,
79,08/01/16 10:30:00 PM,10.026,,,,,
80,08/01/16 10:45:00 PM,9.952,,,,,
81,08/01/16 11:00:00 PM,9.952,,,,,
82,08/01/16 11:15:00 PM,9.829,,,,,
83,08/01/16 11:30:00 PM,9.805,,,,,
84,08/01/16 11:45:00 PM,9.780,,,,,
85,08/02/16 12:00:00 AM,9.657,,,,,
86,08/02/16 12:15:00 AM,9.485,,,,,
87,08/02/16 12:30:00 AM,9.435,,,,,
88,08/02/16 12:45:00 AM,9.460,,,,,
89,08/02/16 01:00:00 AM,9.287,,,,,
90,08/02/16 01:15:00 AM,9.238,,,,,
91,08/02/16 01:30:00 AM,9.114,,,,,
92,08/02/16 01:45:00 AM,9.163,,,,,
93,08/02/16 02:00:00 AM,9.287,,,,,
94,08/02/16 02:15:00 AM,9.188,,,,,
95,08/02/16 02:30:00 AM,9.534,,,,,
96,08/02/16 02:45:00 AM,9.262,,,,,
97,08/02/16 03:00:00 AM,9.410,,,,,
98,08/02/16 03:15:00 AM,9.386,,,,,
99,08/02/16 03:30:00 AM,9.015,,,,,
100,08/02/16 03:45:00 AM,8.643,,,,,
101,08/02/16 04:00:00 AM,8.767,,,,,
102,08/02/16 04:15:00 AM,9.188,,,,,
103,08/02/16 04:30:00 AM,9.312,,,,,
104,08/02/16 04:45:00 AM,9.558,,,,,
105,08/02/16 05:00:00 AM,9.485,,,,,
106,08/02/16 05:15:00 AM,9.756,,,,,
107,08/02/16 05:30:00 AM,9.657,,,,,
108,08/02/16 05:45:00 AM,9.163,,,,,
109,08/02/16 06:00:00 AM,9.854,,,,,
110,08/02/16 06:15:00 AM,9.262,,,,,
111,08/02/16 06:30:00 AM,8.792,,,,,
112,08/02/16 06:45:00 AM,8.717,,,,,
113,08/02/16 07:00:00 AM,9.262,,,,,
114,08/02/16 07:15:00 AM,10.222,,,,,
115,08/02/16 07:30:00 AM,11.102,,,,,
116,08/02/16 07:45:00 AM,11.807,,,,,
