"Plot Title: YachatsHighBench"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485401, SEN S/N: 10485401)","Coupler Detached (LGR S/N: 10485401)","Coupler Attached (LGR S/N: 10485401)","Stopped (LGR S/N: 10485401)","End Of File (LGR S/N: 10485401)"
1,08/12/15 04:00:00 AM,20.984,Logged,,,
2,08/12/15 04:15:00 AM,20.889,,,,
3,08/12/15 04:30:00 AM,20.841,,,,
4,08/12/15 04:45:00 AM,20.460,,,,
5,08/12/15 05:00:00 AM,18.224,,,,
6,08/12/15 05:15:00 AM,16.058,,,,
7,08/12/15 05:30:00 AM,15.247,,,,
8,08/12/15 05:45:00 AM,15.366,,,,
9,08/12/15 06:00:00 AM,14.649,,,,
10,08/12/15 06:15:00 AM,14.697,,,,
11,08/12/15 06:30:00 AM,14.553,,,,
12,08/12/15 06:45:00 AM,14.314,,,,
13,08/12/15 07:00:00 AM,14.768,,,,
14,08/12/15 07:15:00 AM,14.721,,,,
15,08/12/15 07:30:00 AM,14.792,,,,
16,08/12/15 07:45:00 AM,14.768,,,,
17,08/12/15 08:00:00 AM,15.247,,,,
18,08/12/15 08:15:00 AM,15.342,,,,
19,08/12/15 08:30:00 AM,15.915,,,,
20,08/12/15 08:45:00 AM,16.320,,,,
21,08/12/15 09:00:00 AM,16.630,,,,
22,08/12/15 09:15:00 AM,17.225,,,,
23,08/12/15 09:30:00 AM,17.249,,,,
24,08/12/15 09:45:00 AM,16.249,,,,
25,08/12/15 10:00:00 AM,16.153,,,,
26,08/12/15 10:15:00 AM,14.745,,,,
27,08/12/15 10:30:00 AM,14.792,,,,
28,08/12/15 10:45:00 AM,15.270,,,,
29,08/12/15 11:00:00 AM,13.546,,,,
30,08/12/15 11:15:00 AM,13.858,,,,
31,08/12/15 11:30:00 AM,13.762,,,,
32,08/12/15 11:45:00 AM,13.834,,,,
33,08/12/15 12:00:00 PM,14.385,,,,
34,08/12/15 12:15:00 PM,14.673,,,,
35,08/12/15 12:30:00 PM,15.581,,,,
36,08/12/15 12:45:00 PM,14.625,,,,
37,08/12/15 01:00:00 PM,15.366,,,,
38,08/12/15 01:15:00 PM,16.915,,,,
39,08/12/15 01:30:00 PM,15.581,,,,
40,08/12/15 01:45:00 PM,16.701,,,,
41,08/12/15 02:00:00 PM,17.249,,,,
42,08/12/15 02:15:00 PM,17.463,,,,
43,08/12/15 02:30:00 PM,18.414,,,,
44,08/12/15 02:45:00 PM,18.081,,,,
45,08/12/15 03:00:00 PM,18.176,,,,
46,08/12/15 03:15:00 PM,19.627,,,,
47,08/12/15 03:30:00 PM,19.199,,,,
48,08/12/15 03:45:00 PM,19.365,,,,
49,08/12/15 04:00:00 PM,19.984,,,,
50,08/12/15 04:15:00 PM,19.984,,,,
51,08/12/15 04:30:00 PM,20.436,,,,
52,08/12/15 04:45:00 PM,20.650,,,,
53,08/12/15 05:00:00 PM,21.223,,,,
54,08/12/15 05:15:00 PM,21.581,,,,
