"Plot Title: YachatsHighChannel"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485372, SEN S/N: 10485372)","Coupler Detached (LGR S/N: 10485372)","Coupler Attached (LGR S/N: 10485372)","Stopped (LGR S/N: 10485372)","End Of File (LGR S/N: 10485372)"
1,08/12/15 04:00:00 AM,20.531,Logged,,,
2,08/12/15 04:15:00 AM,20.507,,,,
3,08/12/15 04:30:00 AM,20.484,,,,
4,08/12/15 04:45:00 AM,19.770,,,,
5,08/12/15 05:00:00 AM,18.224,,,,
6,08/12/15 05:15:00 AM,15.748,,,,
7,08/12/15 05:30:00 AM,15.748,,,,
8,08/12/15 05:45:00 AM,14.745,,,,
9,08/12/15 06:00:00 AM,14.409,,,,
10,08/12/15 06:15:00 AM,14.553,,,,
11,08/12/15 06:30:00 AM,14.433,,,,
12,08/12/15 06:45:00 AM,14.242,,,,
13,08/12/15 07:00:00 AM,14.649,,,,
14,08/12/15 07:15:00 AM,14.673,,,,
15,08/12/15 07:30:00 AM,14.840,,,,
16,08/12/15 07:45:00 AM,14.912,,,,
17,08/12/15 08:00:00 AM,15.438,,,,
18,08/12/15 08:15:00 AM,15.676,,,,
19,08/12/15 08:30:00 AM,16.344,,,,
20,08/12/15 08:45:00 AM,16.963,,,,
21,08/12/15 09:00:00 AM,17.225,,,,
22,08/12/15 09:15:00 AM,18.176,,,,
23,08/12/15 09:30:00 AM,17.391,,,,
24,08/12/15 09:45:00 AM,14.577,,,,
25,08/12/15 10:00:00 AM,13.546,,,,
26,08/12/15 10:15:00 AM,13.161,,,,
27,08/12/15 10:30:00 AM,12.871,,,,
28,08/12/15 10:45:00 AM,13.714,,,,
29,08/12/15 11:00:00 AM,13.353,,,,
30,08/12/15 11:15:00 AM,13.353,,,,
31,08/12/15 11:30:00 AM,13.425,,,,
32,08/12/15 11:45:00 AM,13.522,,,,
33,08/12/15 12:00:00 PM,13.906,,,,
34,08/12/15 12:15:00 PM,14.266,,,,
35,08/12/15 12:30:00 PM,14.888,,,,
36,08/12/15 12:45:00 PM,14.745,,,,
37,08/12/15 01:00:00 PM,14.840,,,,
38,08/12/15 01:15:00 PM,14.936,,,,
39,08/12/15 01:30:00 PM,15.223,,,,
40,08/12/15 01:45:00 PM,15.748,,,,
41,08/12/15 02:00:00 PM,15.509,,,,
42,08/12/15 02:15:00 PM,17.082,,,,
43,08/12/15 02:30:00 PM,18.771,,,,
44,08/12/15 02:45:00 PM,17.796,,,,
45,08/12/15 03:00:00 PM,18.747,,,,
46,08/12/15 03:15:00 PM,22.321,,,,
47,08/12/15 03:30:00 PM,21.819,,,,
48,08/12/15 03:45:00 PM,22.393,,,,
49,08/12/15 04:00:00 PM,23.905,,,,
50,08/12/15 04:15:00 PM,23.809,,,,
51,08/12/15 04:30:00 PM,24.677,,,,
52,08/12/15 04:45:00 PM,25.065,,,,
53,08/12/15 05:00:00 PM,25.331,,,,
54,08/12/15 05:15:00 PM,26.329,,,,
55,08/12/15 05:30:00 PM,27.481,,,,
56,08/12/15 05:45:00 PM,26.109,,,,
57,08/12/15 06:00:00 PM,25.890,,,,
58,08/12/15 06:15:00 PM,22.753,,,,
59,08/12/15 06:30:00 PM,21.819,,,,
60,08/12/15 06:45:00 PM,20.031,,,,
61,08/12/15 07:00:00 PM,18.937,,,,
62,08/12/15 07:15:00 PM,18.033,,,,
63,08/12/15 07:30:00 PM,16.582,,,,
64,08/12/15 07:45:00 PM,16.511,,,,
65,08/12/15 08:00:00 PM,15.629,,,,
66,08/12/15 08:15:00 PM,14.888,,,,
67,08/12/15 08:30:00 PM,14.721,,,,
68,08/12/15 08:45:00 PM,14.457,,,,
69,08/12/15 09:00:00 PM,14.218,,,,
70,08/12/15 09:15:00 PM,14.098,,,,
71,08/12/15 09:30:00 PM,14.050,,,,
72,08/12/15 09:45:00 PM,14.074,,,,
73,08/12/15 10:00:00 PM,13.954,,,,
74,08/12/15 10:15:00 PM,13.882,,,,
75,08/12/15 10:30:00 PM,13.882,,,,
76,08/12/15 10:45:00 PM,13.882,,,,
77,08/12/15 11:00:00 PM,13.834,,,,
78,08/12/15 11:15:00 PM,13.786,,,,
79,08/12/15 11:30:00 PM,13.786,,,,
80,08/12/15 11:45:00 PM,13.690,,,,
81,08/13/15 12:00:00 AM,13.714,,,,
82,08/13/15 12:15:00 AM,13.714,,,,
83,08/13/15 12:30:00 AM,13.666,,,,
84,08/13/15 12:45:00 AM,13.690,,,,
85,08/13/15 01:00:00 AM,13.690,,,,
86,08/13/15 01:15:00 AM,13.690,,,,
