"Plot Title: YachatsLowBench"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485340, SEN S/N: 10485340)","Coupler Detached (LGR S/N: 10485340)","Coupler Attached (LGR S/N: 10485340)","Stopped (LGR S/N: 10485340)","End Of File (LGR S/N: 10485340)"
1,08/12/15 04:00:00 AM,21.151,Logged,,,
2,08/12/15 04:15:00 AM,21.079,,,,
3,08/12/15 04:30:00 AM,21.032,,,,
4,08/12/15 04:45:00 AM,20.198,,,,
5,08/12/15 05:00:00 AM,18.414,,,,
6,08/12/15 05:15:00 AM,15.986,,,,
7,08/12/15 05:30:00 AM,15.223,,,,
8,08/12/15 05:45:00 AM,15.294,,,,
9,08/12/15 06:00:00 AM,14.457,,,,
10,08/12/15 06:15:00 AM,14.457,,,,
11,08/12/15 06:30:00 AM,14.290,,,,
12,08/12/15 06:45:00 AM,14.098,,,,
13,08/12/15 07:00:00 AM,14.409,,,,
14,08/12/15 07:15:00 AM,14.385,,,,
15,08/12/15 07:30:00 AM,14.457,,,,
16,08/12/15 07:45:00 AM,14.481,,,,
17,08/12/15 08:00:00 AM,14.888,,,,
18,08/12/15 08:15:00 AM,15.031,,,,
19,08/12/15 08:30:00 AM,15.485,,,,
20,08/12/15 08:45:00 AM,15.891,,,,
21,08/12/15 09:00:00 AM,16.249,,,,
22,08/12/15 09:15:00 AM,15.915,,,,
23,08/12/15 09:30:00 AM,14.314,,,,
24,08/12/15 09:45:00 AM,12.992,,,,
25,08/12/15 10:00:00 AM,12.847,,,,
26,08/12/15 10:15:00 AM,12.799,,,,
27,08/12/15 10:30:00 AM,12.630,,,,
28,08/12/15 10:45:00 AM,12.920,,,,
29,08/12/15 11:00:00 AM,12.896,,,,
30,08/12/15 11:15:00 AM,12.944,,,,
31,08/12/15 11:30:00 AM,12.944,,,,
32,08/12/15 11:45:00 AM,12.968,,,,
33,08/12/15 12:00:00 PM,13.209,,,,
34,08/12/15 12:15:00 PM,13.570,,,,
35,08/12/15 12:30:00 PM,13.978,,,,
36,08/12/15 12:45:00 PM,14.002,,,,
37,08/12/15 01:00:00 PM,14.266,,,,
38,08/12/15 01:15:00 PM,14.457,,,,
39,08/12/15 01:30:00 PM,14.433,,,,
40,08/12/15 01:45:00 PM,14.649,,,,
41,08/12/15 02:00:00 PM,15.031,,,,
42,08/12/15 02:15:00 PM,15.127,,,,
43,08/12/15 02:30:00 PM,15.629,,,,
44,08/12/15 02:45:00 PM,15.652,,,,
45,08/12/15 03:00:00 PM,15.605,,,,
46,08/12/15 03:15:00 PM,19.032,,,,
