"Plot Title: YachatsPatchBF"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485376, SEN S/N: 10485376)","Coupler Detached (LGR S/N: 10485376)","Coupler Attached (LGR S/N: 10485376)","Stopped (LGR S/N: 10485376)","End Of File (LGR S/N: 10485376)"
1,08/12/15 04:00:00 AM,20.722,Logged,,,
2,08/12/15 04:15:00 AM,20.627,,,,
3,08/12/15 04:30:00 AM,20.579,,,,
4,08/12/15 04:45:00 AM,20.174,,,,
5,08/12/15 05:00:00 AM,18.794,,,,
6,08/12/15 05:15:00 AM,15.366,,,,
7,08/12/15 05:30:00 AM,14.553,,,,
8,08/12/15 05:45:00 AM,14.697,,,,
9,08/12/15 06:00:00 AM,14.577,,,,
10,08/12/15 06:15:00 AM,14.840,,,,
11,08/12/15 06:30:00 AM,14.649,,,,
12,08/12/15 06:45:00 AM,14.409,,,,
13,08/12/15 07:00:00 AM,15.079,,,,
14,08/12/15 07:15:00 AM,14.888,,,,
15,08/12/15 07:30:00 AM,14.888,,,,
16,08/12/15 07:45:00 AM,14.888,,,,
17,08/12/15 08:00:00 AM,15.438,,,,
18,08/12/15 08:15:00 AM,15.461,,,,
19,08/12/15 08:30:00 AM,16.153,,,,
20,08/12/15 08:45:00 AM,16.558,,,,
21,08/12/15 09:00:00 AM,16.725,,,,
22,08/12/15 09:15:00 AM,17.486,,,,
23,08/12/15 09:30:00 AM,17.701,,,,
24,08/12/15 09:45:00 AM,17.796,,,,
25,08/12/15 10:00:00 AM,16.725,,,,
26,08/12/15 10:15:00 AM,14.960,,,,
27,08/12/15 10:30:00 AM,14.122,,,,
28,08/12/15 10:45:00 AM,14.649,,,,
29,08/12/15 11:00:00 AM,14.194,,,,
30,08/12/15 11:15:00 AM,13.762,,,,
31,08/12/15 11:30:00 AM,13.690,,,,
32,08/12/15 11:45:00 AM,14.314,,,,
33,08/12/15 12:00:00 PM,15.008,,,,
34,08/12/15 12:15:00 PM,15.724,,,,
35,08/12/15 12:30:00 PM,15.461,,,,
36,08/12/15 12:45:00 PM,15.485,,,,
37,08/12/15 01:00:00 PM,15.414,,,,
38,08/12/15 01:15:00 PM,16.892,,,,
39,08/12/15 01:30:00 PM,16.034,,,,
40,08/12/15 01:45:00 PM,16.892,,,,
41,08/12/15 02:00:00 PM,17.177,,,,
42,08/12/15 02:15:00 PM,18.937,,,,
43,08/12/15 02:30:00 PM,20.031,,,,
44,08/12/15 02:45:00 PM,19.651,,,,
45,08/12/15 03:00:00 PM,20.150,,,,
46,08/12/15 03:15:00 PM,22.058,,,,
47,08/12/15 03:30:00 PM,21.413,,,,
48,08/12/15 03:45:00 PM,21.819,,,,
49,08/12/15 04:00:00 PM,22.896,,,,
50,08/12/15 04:15:00 PM,22.753,,,,
51,08/12/15 04:30:00 PM,23.304,,,,
52,08/12/15 04:45:00 PM,23.448,,,,
53,08/12/15 05:00:00 PM,23.208,,,,
54,08/12/15 05:15:00 PM,24.074,,,,
55,08/12/15 05:30:00 PM,24.388,,,,
56,08/12/15 05:45:00 PM,23.641,,,,
57,08/12/15 06:00:00 PM,23.665,,,,
58,08/12/15 06:15:00 PM,21.342,,,,
59,08/12/15 06:30:00 PM,20.746,,,,
60,08/12/15 06:45:00 PM,19.651,,,,
61,08/12/15 07:00:00 PM,18.699,,,,
62,08/12/15 07:15:00 PM,17.891,,,,
63,08/12/15 07:30:00 PM,17.368,,,,
64,08/12/15 07:45:00 PM,17.891,,,,
65,08/12/15 08:00:00 PM,17.701,,,,
66,08/12/15 08:15:00 PM,16.582,,,,
67,08/12/15 08:30:00 PM,15.247,,,,
68,08/12/15 08:45:00 PM,15.390,,,,
69,08/12/15 09:00:00 PM,15.079,,,,
70,08/12/15 09:15:00 PM,14.577,,,,
71,08/12/15 09:30:00 PM,14.290,,,,
72,08/12/15 09:45:00 PM,14.218,,,,
73,08/12/15 10:00:00 PM,14.098,,,,
74,08/12/15 10:15:00 PM,13.978,,,,
75,08/12/15 10:30:00 PM,13.954,,,,
76,08/12/15 10:45:00 PM,13.978,,,,
77,08/12/15 11:00:00 PM,13.930,,,,
78,08/12/15 11:15:00 PM,13.954,,,,
79,08/12/15 11:30:00 PM,13.882,,,,
80,08/12/15 11:45:00 PM,13.930,,,,
81,08/13/15 12:00:00 AM,13.810,,,,
82,08/13/15 12:15:00 AM,13.786,,,,
83,08/13/15 12:30:00 AM,13.786,,,,
84,08/13/15 12:45:00 AM,13.738,,,,
85,08/13/15 01:00:00 AM,13.762,,,,
86,08/13/15 01:15:00 AM,13.762,,,,
87,08/13/15 01:30:00 AM,13.810,,,,
88,08/13/15 01:45:00 AM,13.906,,,,
89,08/13/15 02:00:00 AM,14.050,,,,
90,08/13/15 02:15:00 AM,14.266,,,,
91,08/13/15 02:30:00 AM,14.314,,,,
92,08/13/15 02:45:00 AM,14.505,,,,
93,08/13/15 03:00:00 AM,14.553,,,,
94,08/13/15 03:15:00 AM,14.553,,,,
95,08/13/15 03:30:00 AM,14.601,,,,
96,08/13/15 03:45:00 AM,14.601,,,,
97,08/13/15 04:00:00 AM,14.649,,,,
98,08/13/15 04:15:00 AM,14.697,,,,
99,08/13/15 04:30:00 AM,14.721,,,,
100,08/13/15 04:45:00 AM,14.673,,,,
101,08/13/15 05:00:00 AM,14.649,,,,
102,08/13/15 05:15:00 AM,14.625,,,,
103,08/13/15 05:30:00 AM,14.625,,,,
104,08/13/15 05:45:00 AM,14.697,,,,
105,08/13/15 06:00:00 AM,14.697,,,,
106,08/13/15 06:15:00 AM,14.792,,,,
107,08/13/15 06:30:00 AM,14.792,,,,
108,08/13/15 06:45:00 AM,14.840,,,,
109,08/13/15 07:00:00 AM,15.008,,,,
110,08/13/15 07:15:00 AM,15.247,,,,
111,08/13/15 07:30:00 AM,15.414,,,,
112,08/13/15 07:45:00 AM,15.629,,,,
113,08/13/15 08:00:00 AM,15.676,,,,
114,08/13/15 08:15:00 AM,15.796,,,,
115,08/13/15 08:30:00 AM,15.963,,,,
116,08/13/15 08:45:00 AM,16.153,,,,
117,08/13/15 09:00:00 AM,16.225,,,,
118,08/13/15 09:15:00 AM,16.320,,,,
119,08/13/15 09:30:00 AM,16.606,,,,
120,08/13/15 09:45:00 AM,16.654,,,,
121,08/13/15 10:00:00 AM,16.630,,,,
122,08/13/15 10:15:00 AM,16.630,,,,
123,08/13/15 10:30:00 AM,15.605,,,,
124,08/13/15 10:45:00 AM,15.939,,,,
125,08/13/15 11:00:00 AM,15.127,,,,
126,08/13/15 11:15:00 AM,14.864,,,,
127,08/13/15 11:30:00 AM,14.697,,,,
128,08/13/15 11:45:00 AM,14.792,,,,
129,08/13/15 12:00:00 PM,14.864,,,,
130,08/13/15 12:15:00 PM,15.103,,,,
131,08/13/15 12:30:00 PM,15.175,,,,
132,08/13/15 12:45:00 PM,15.366,,,,
133,08/13/15 01:00:00 PM,16.272,,,,
134,08/13/15 01:15:00 PM,15.629,,,,
135,08/13/15 01:30:00 PM,15.748,,,,
136,08/13/15 01:45:00 PM,15.891,,,,
137,08/13/15 02:00:00 PM,15.963,,,,
138,08/13/15 02:15:00 PM,15.700,,,,
139,08/13/15 02:30:00 PM,15.605,,,,
140,08/13/15 02:45:00 PM,15.748,,,,
141,08/13/15 03:00:00 PM,16.511,,,,
142,08/13/15 03:15:00 PM,17.605,,,,
143,08/13/15 03:30:00 PM,17.272,,,,
144,08/13/15 03:45:00 PM,19.056,,,,
145,08/13/15 04:00:00 PM,20.103,,,,
146,08/13/15 04:15:00 PM,19.270,,,,
147,08/13/15 04:30:00 PM,18.961,,,,
148,08/13/15 04:45:00 PM,18.533,,,,
149,08/13/15 05:00:00 PM,18.961,,,,
150,08/13/15 05:15:00 PM,20.150,,,,
151,08/13/15 05:30:00 PM,20.198,,,,
152,08/13/15 05:45:00 PM,20.269,,,,
153,08/13/15 06:00:00 PM,19.579,,,,
154,08/13/15 06:15:00 PM,19.294,,,,
155,08/13/15 06:30:00 PM,18.509,,,,
156,08/13/15 06:45:00 PM,17.891,,,,
157,08/13/15 07:00:00 PM,17.582,,,,
158,08/13/15 07:15:00 PM,17.368,,,,
159,08/13/15 07:30:00 PM,16.987,,,,
160,08/13/15 07:45:00 PM,16.630,,,,
161,08/13/15 08:00:00 PM,16.463,,,,
162,08/13/15 08:15:00 PM,16.249,,,,
163,08/13/15 08:30:00 PM,15.939,,,,
164,08/13/15 08:45:00 PM,15.939,,,,
165,08/13/15 09:00:00 PM,15.461,,,,
166,08/13/15 09:15:00 PM,15.390,,,,
167,08/13/15 09:30:00 PM,15.199,,,,
168,08/13/15 09:45:00 PM,15.079,,,,
169,08/13/15 10:00:00 PM,15.103,,,,
170,08/13/15 10:15:00 PM,15.127,,,,
171,08/13/15 10:30:00 PM,15.127,,,,
172,08/13/15 10:45:00 PM,15.151,,,,
173,08/13/15 11:00:00 PM,15.151,,,,
174,08/13/15 11:15:00 PM,15.175,,,,
175,08/13/15 11:30:00 PM,15.175,,,,
176,08/13/15 11:45:00 PM,15.175,,,,
177,08/14/15 12:00:00 AM,15.175,,,,
178,08/14/15 12:15:00 AM,15.151,,,,
179,08/14/15 12:30:00 AM,15.151,,,,
180,08/14/15 12:45:00 AM,15.127,,,,
181,08/14/15 01:00:00 AM,15.127,,,,
182,08/14/15 01:15:00 AM,15.175,,,,
183,08/14/15 01:30:00 AM,15.151,,,,
184,08/14/15 01:45:00 AM,15.175,,,,
185,08/14/15 02:00:00 AM,15.175,,,,
186,08/14/15 02:15:00 AM,15.270,,,,
187,08/14/15 02:30:00 AM,15.247,,,,
188,08/14/15 02:45:00 AM,15.294,,,,
189,08/14/15 03:00:00 AM,15.509,,,,
190,08/14/15 03:15:00 AM,15.605,,,,
191,08/14/15 03:30:00 AM,15.819,,,,
192,08/14/15 03:45:00 AM,15.843,,,,
193,08/14/15 04:00:00 AM,15.867,,,,
194,08/14/15 04:15:00 AM,15.461,,,,
195,08/14/15 04:30:00 AM,15.676,,,,
196,08/14/15 04:45:00 AM,16.034,,,,
197,08/14/15 05:00:00 AM,16.153,,,,
198,08/14/15 05:15:00 AM,15.772,,,,
199,08/14/15 05:30:00 AM,15.843,,,,
200,08/14/15 05:45:00 AM,16.010,,,,
201,08/14/15 06:00:00 AM,16.153,,,,
202,08/14/15 06:15:00 AM,16.106,,,,
203,08/14/15 06:30:00 AM,16.129,,,,
204,08/14/15 06:45:00 AM,16.129,,,,
205,08/14/15 07:00:00 AM,15.963,,,,
206,08/14/15 07:15:00 AM,15.963,,,,
207,08/14/15 07:30:00 AM,16.249,,,,
208,08/14/15 07:45:00 AM,16.272,,,,
209,08/14/15 08:00:00 AM,16.344,,,,
210,08/14/15 08:15:00 AM,16.511,,,,
211,08/14/15 08:30:00 AM,16.725,,,,
212,08/14/15 08:45:00 AM,16.892,,,,
213,08/14/15 09:00:00 AM,17.082,,,,
214,08/14/15 09:15:00 AM,17.106,,,,
215,08/14/15 09:30:00 AM,17.272,,,,
216,08/14/15 09:45:00 AM,17.724,,,,
217,08/14/15 10:00:00 AM,17.843,,,,
218,08/14/15 10:15:00 AM,18.794,,,,
219,08/14/15 10:30:00 AM,18.533,,,,
220,08/14/15 10:45:00 AM,18.343,,,,
221,08/14/15 11:00:00 AM,17.011,,,,
222,08/14/15 11:15:00 AM,16.392,,,,
223,08/14/15 11:30:00 AM,16.534,,,,
224,08/14/15 11:45:00 AM,15.676,,,,
225,08/14/15 12:00:00 PM,15.772,,,,
226,08/14/15 12:15:00 PM,15.748,,,,
227,08/14/15 12:30:00 PM,15.843,,,,
228,08/14/15 12:45:00 PM,15.652,,,,
229,08/14/15 01:00:00 PM,15.748,,,,
230,08/14/15 01:15:00 PM,15.796,,,,
231,08/14/15 01:30:00 PM,15.772,,,,
232,08/14/15 01:45:00 PM,15.796,,,,
233,08/14/15 02:00:00 PM,16.201,,,,
234,08/14/15 02:15:00 PM,16.153,,,,
235,08/14/15 02:30:00 PM,16.177,,,,
236,08/14/15 02:45:00 PM,16.225,,,,
237,08/14/15 03:00:00 PM,15.915,,,,
238,08/14/15 03:15:00 PM,16.487,,,,
239,08/14/15 03:30:00 PM,16.844,,,,
240,08/14/15 03:45:00 PM,17.796,,,,
241,08/14/15 04:00:00 PM,18.557,,,,
242,08/14/15 04:15:00 PM,19.460,,,,
243,08/14/15 04:30:00 PM,18.771,,,,
244,08/14/15 04:45:00 PM,18.319,,,,
245,08/14/15 05:00:00 PM,18.366,,,,
