"Plot Title: 10321669"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10321669, SEN S/N: 10321669)","Coupler Detached (LGR S/N: 10321669)","Coupler Attached (LGR S/N: 10321669)","Stopped (LGR S/N: 10321669)","End Of File (LGR S/N: 10321669)"
1,07/08/13 02:41:37 PM,25.210,,,,
2,07/08/13 02:41:45 PM,,Logged,,,
3,07/08/13 02:56:37 PM,25.817,,,,
4,07/08/13 03:11:37 PM,25.234,,,,
5,07/08/13 03:26:37 PM,24.847,,,,
6,07/08/13 03:41:37 PM,24.653,,,,
7,07/08/13 03:56:37 PM,24.508,,,,
8,07/08/13 04:11:37 PM,24.291,,,,
9,07/08/13 04:26:37 PM,25.283,,,,
10,07/08/13 04:41:37 PM,24.919,,,,
11,07/08/13 04:56:37 PM,24.339,,,,
12,07/08/13 05:11:37 PM,24.219,,,,
13,07/08/13 05:26:37 PM,24.050,,,,
14,07/08/13 05:41:37 PM,24.388,,,,
15,07/08/13 05:56:37 PM,24.919,,,,
16,07/08/13 06:11:37 PM,24.508,,,,
17,07/08/13 06:26:37 PM,24.050,,,,
18,07/08/13 06:41:37 PM,23.713,,,,
19,07/08/13 06:56:37 PM,23.521,,,,
20,07/08/13 07:11:37 PM,23.400,,,,
21,07/08/13 07:26:37 PM,23.328,,,,
22,07/08/13 07:41:37 PM,23.280,,,,
23,07/08/13 07:56:37 PM,23.256,,,,
24,07/08/13 08:11:37 PM,23.232,,,,
25,07/08/13 08:26:37 PM,23.088,,,,
26,07/08/13 08:41:37 PM,22.968,,,,
27,07/08/13 08:56:37 PM,22.872,,,,
28,07/08/13 09:11:37 PM,22.800,,,,
29,07/08/13 09:26:37 PM,22.753,,,,
30,07/08/13 09:41:37 PM,22.633,,,,
31,07/08/13 09:56:37 PM,22.561,,,,
32,07/08/13 10:11:37 PM,22.561,,,,
33,07/08/13 10:26:37 PM,22.561,,,,
34,07/08/13 10:41:37 PM,22.561,,,,
35,07/08/13 10:56:37 PM,22.633,,,,
36,07/08/13 11:11:37 PM,22.729,,,,
37,07/08/13 11:26:37 PM,22.729,,,,
38,07/08/13 11:41:37 PM,22.681,,,,
39,07/08/13 11:56:37 PM,22.609,,,,
40,07/09/13 12:11:37 AM,22.513,,,,
41,07/09/13 12:26:37 AM,22.441,,,,
42,07/09/13 12:41:37 AM,22.369,,,,
43,07/09/13 12:56:37 AM,22.298,,,,
44,07/09/13 01:11:37 AM,22.226,,,,
45,07/09/13 01:26:37 AM,22.130,,,,
46,07/09/13 01:41:37 AM,22.058,,,,
47,07/09/13 01:56:37 AM,21.987,,,,
48,07/09/13 02:11:37 AM,21.891,,,,
49,07/09/13 02:26:37 AM,21.819,,,,
50,07/09/13 02:41:37 AM,21.724,,,,
51,07/09/13 02:56:37 AM,21.652,,,,
52,07/09/13 03:11:37 AM,21.557,,,,
53,07/09/13 03:26:37 AM,21.461,,,,
54,07/09/13 03:41:37 AM,21.390,,,,
55,07/09/13 03:56:37 AM,21.294,,,,
56,07/09/13 04:11:37 AM,20.627,,,,
57,07/09/13 04:26:37 AM,19.651,,,,
58,07/09/13 04:41:37 AM,18.842,,,,
59,07/09/13 04:56:37 AM,18.247,,,,
60,07/09/13 05:11:37 AM,17.891,,,,
61,07/09/13 05:26:37 AM,17.463,,,,
62,07/09/13 05:41:37 AM,16.987,,,,
63,07/09/13 05:56:37 AM,16.725,,,,
64,07/09/13 06:11:37 AM,16.106,,,,
65,07/09/13 06:26:37 AM,15.533,,,,
66,07/09/13 06:41:37 AM,15.175,,,,
67,07/09/13 06:56:37 AM,14.888,,,,
68,07/09/13 07:11:37 AM,14.601,,,,
69,07/09/13 07:26:37 AM,14.409,,,,
70,07/09/13 07:41:37 AM,14.218,,,,
71,07/09/13 07:56:37 AM,14.026,,,,
72,07/09/13 08:11:37 AM,13.954,,,,
73,07/09/13 08:26:37 AM,13.738,,,,
74,07/09/13 08:41:37 AM,13.016,,,,
75,07/09/13 08:56:37 AM,12.413,,,,
76,07/09/13 09:11:37 AM,12.823,,,,
77,07/09/13 09:26:37 AM,13.137,,,,
78,07/09/13 09:41:37 AM,13.161,,,,
79,07/09/13 09:56:37 AM,13.088,,,,
80,07/09/13 10:11:37 AM,13.642,,,,
81,07/09/13 10:26:37 AM,12.703,,,,
82,07/09/13 10:41:37 AM,12.799,,,,
83,07/09/13 10:56:37 AM,12.847,,,,
84,07/09/13 11:11:37 AM,12.606,,,,
85,07/09/13 11:26:37 AM,12.703,,,,
86,07/09/13 11:41:37 AM,11.443,,,,
87,07/09/13 11:56:37 AM,12.219,,,,
88,07/09/13 12:11:37 PM,11.637,,,,
89,07/09/13 12:26:37 PM,11.443,,,,
90,07/09/13 12:41:37 PM,11.540,,,,
91,07/09/13 12:56:37 PM,11.005,,,,
92,07/09/13 01:11:37 PM,10.785,,,,
93,07/09/13 01:26:37 PM,10.687,,,,
94,07/09/13 01:41:37 PM,10.932,,,,
95,07/09/13 01:56:37 PM,10.883,,,,
96,07/09/13 02:11:37 PM,11.127,,,,
97,07/09/13 02:26:37 PM,11.175,,,,
98,07/09/13 02:41:37 PM,11.273,,,,
99,07/09/13 02:56:37 PM,11.419,,,,
100,07/09/13 03:11:37 PM,11.053,,,,
101,07/09/13 03:26:37 PM,11.053,,,,
102,07/09/13 03:41:37 PM,11.151,,,,
103,07/09/13 03:56:37 PM,10.810,,,,
104,07/09/13 04:11:37 PM,11.419,,,,
105,07/09/13 04:26:37 PM,11.346,,,,
106,07/09/13 04:41:37 PM,11.492,,,,
107,07/09/13 04:56:37 PM,11.297,,,,
108,07/09/13 05:11:37 PM,12.050,,,,
109,07/09/13 05:26:37 PM,11.977,,,,
110,07/09/13 05:41:37 PM,12.292,,,,
111,07/09/13 05:56:37 PM,12.316,,,,
112,07/09/13 06:11:37 PM,12.678,,,,
113,07/09/13 06:26:37 PM,12.437,,,,
114,07/09/13 06:41:37 PM,12.389,,,,
115,07/09/13 06:56:37 PM,12.413,,,,
116,07/09/13 07:11:37 PM,12.292,,,,
117,07/09/13 07:26:37 PM,12.219,,,,
118,07/09/13 07:41:37 PM,12.122,,,,
119,07/09/13 07:56:37 PM,12.195,,,,
120,07/09/13 08:11:37 PM,11.929,,,,
121,07/09/13 08:26:37 PM,11.710,,,,
122,07/09/13 08:41:37 PM,11.613,,,,
123,07/09/13 08:56:37 PM,11.394,,,,
124,07/09/13 09:11:37 PM,11.224,,,,
125,07/09/13 09:26:37 PM,10.858,,,,
126,07/09/13 09:41:37 PM,10.663,,,,
127,07/09/13 09:56:37 PM,10.418,,,,
128,07/09/13 10:11:37 PM,9.829,,,,
129,07/09/13 10:26:37 PM,9.780,,,,
130,07/09/13 10:41:37 PM,9.558,,,,
131,07/09/13 10:56:37 PM,9.608,,,,
132,07/09/13 11:11:37 PM,9.312,,,,
133,07/09/13 11:26:37 PM,9.435,,,,
134,07/09/13 11:41:37 PM,9.238,,,,
135,07/09/13 11:56:37 PM,9.287,,,,
136,07/10/13 12:11:37 AM,9.361,,,,
137,07/10/13 12:26:37 AM,9.410,,,,
138,07/10/13 12:41:37 AM,9.410,,,,
139,07/10/13 12:56:37 AM,9.460,,,,
140,07/10/13 01:11:37 AM,9.534,,,,
141,07/10/13 01:26:37 AM,9.558,,,,
142,07/10/13 01:41:37 AM,9.583,,,,
143,07/10/13 01:56:37 AM,9.485,,,,
144,07/10/13 02:11:37 AM,9.435,,,,
145,07/10/13 02:26:37 AM,9.509,,,,
146,07/10/13 02:41:37 AM,9.460,,,,
147,07/10/13 02:56:37 AM,9.238,,,,
148,07/10/13 03:11:37 AM,9.213,,,,
149,07/10/13 03:26:37 AM,9.213,,,,
150,07/10/13 03:41:37 AM,9.064,,,,
151,07/10/13 03:56:37 AM,8.990,,,,
152,07/10/13 04:11:37 AM,9.213,,,,
153,07/10/13 04:26:37 AM,9.386,,,,
154,07/10/13 04:41:37 AM,9.361,,,,
155,07/10/13 04:56:37 AM,9.410,,,,
156,07/10/13 05:11:37 AM,9.682,,,,
