"Plot Title: 10325597"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10325597, SEN S/N: 10325597)","Coupler Detached (LGR S/N: 10325597)","Coupler Attached (LGR S/N: 10325597)","Stopped (LGR S/N: 10325597)","End Of File (LGR S/N: 10325597)"
1,07/08/13 02:40:53 PM,27.136,,,,
2,07/08/13 02:40:59 PM,,Logged,,,
3,07/08/13 02:55:53 PM,26.036,,,,
4,07/08/13 03:10:53 PM,25.210,,,,
5,07/08/13 03:25:53 PM,24.774,,,,
6,07/08/13 03:40:53 PM,25.186,,,,
7,07/08/13 03:55:53 PM,25.866,,,,
8,07/08/13 04:10:53 PM,24.895,,,,
9,07/08/13 04:25:53 PM,24.098,,,,
10,07/08/13 04:40:53 PM,23.617,,,,
11,07/08/13 04:55:53 PM,23.569,,,,
12,07/08/13 05:10:53 PM,23.689,,,,
13,07/08/13 05:25:53 PM,23.713,,,,
14,07/08/13 05:40:53 PM,24.146,,,,
15,07/08/13 05:55:53 PM,24.798,,,,
16,07/08/13 06:10:53 PM,24.557,,,,
17,07/08/13 06:25:53 PM,24.146,,,,
18,07/08/13 06:40:53 PM,23.833,,,,
19,07/08/13 06:55:53 PM,23.641,,,,
20,07/08/13 07:10:53 PM,23.521,,,,
21,07/08/13 07:25:53 PM,23.448,,,,
22,07/08/13 07:40:53 PM,23.400,,,,
23,07/08/13 07:55:53 PM,23.376,,,,
24,07/08/13 08:10:53 PM,23.352,,,,
25,07/08/13 08:25:53 PM,23.208,,,,
26,07/08/13 08:40:53 PM,23.064,,,,
27,07/08/13 08:55:53 PM,22.968,,,,
28,07/08/13 09:10:53 PM,22.920,,,,
29,07/08/13 09:25:53 PM,22.872,,,,
30,07/08/13 09:40:53 PM,22.729,,,,
31,07/08/13 09:55:53 PM,22.657,,,,
32,07/08/13 10:10:53 PM,22.657,,,,
33,07/08/13 10:25:53 PM,22.681,,,,
34,07/08/13 10:40:53 PM,22.681,,,,
35,07/08/13 10:55:53 PM,22.729,,,,
36,07/08/13 11:10:53 PM,22.800,,,,
37,07/08/13 11:25:53 PM,22.776,,,,
38,07/08/13 11:40:53 PM,22.729,,,,
39,07/08/13 11:55:53 PM,22.657,,,,
40,07/09/13 12:10:53 AM,22.585,,,,
41,07/09/13 12:25:53 AM,22.513,,,,
42,07/09/13 12:40:53 AM,22.441,,,,
43,07/09/13 12:55:53 AM,22.369,,,,
44,07/09/13 01:10:53 AM,22.298,,,,
45,07/09/13 01:25:53 AM,22.226,,,,
46,07/09/13 01:40:53 AM,22.130,,,,
47,07/09/13 01:55:53 AM,22.058,,,,
48,07/09/13 02:10:53 AM,21.987,,,,
49,07/09/13 02:25:53 AM,21.891,,,,
50,07/09/13 02:40:53 AM,21.819,,,,
51,07/09/13 02:55:53 AM,21.724,,,,
52,07/09/13 03:10:53 AM,21.652,,,,
53,07/09/13 03:25:53 AM,21.557,,,,
54,07/09/13 03:40:53 AM,21.461,,,,
55,07/09/13 03:55:53 AM,21.390,,,,
56,07/09/13 04:10:53 AM,20.913,,,,
57,07/09/13 04:25:53 AM,19.960,,,,
58,07/09/13 04:40:53 AM,19.056,,,,
59,07/09/13 04:55:53 AM,18.414,,,,
60,07/09/13 05:10:53 AM,17.986,,,,
61,07/09/13 05:25:53 AM,17.605,,,,
62,07/09/13 05:40:53 AM,17.034,,,,
63,07/09/13 05:55:53 AM,16.630,,,,
64,07/09/13 06:10:53 AM,15.533,,,,
65,07/09/13 06:25:53 AM,14.457,,,,
66,07/09/13 06:40:53 AM,13.762,,,,
67,07/09/13 06:55:53 AM,13.281,,,,
68,07/09/13 07:10:53 AM,12.896,,,,
69,07/09/13 07:25:53 AM,12.630,,,,
70,07/09/13 07:40:53 AM,12.461,,,,
71,07/09/13 07:55:53 AM,12.316,,,,
72,07/09/13 08:10:53 AM,12.389,,,,
73,07/09/13 08:25:53 AM,12.485,,,,
74,07/09/13 08:40:53 AM,12.485,,,,
75,07/09/13 08:55:53 AM,13.329,,,,
76,07/09/13 09:10:53 AM,14.242,,,,
77,07/09/13 09:25:53 AM,14.697,,,,
78,07/09/13 09:40:53 AM,14.385,,,,
79,07/09/13 09:55:53 AM,14.697,,,,
80,07/09/13 10:10:53 AM,15.175,,,,
81,07/09/13 10:25:53 AM,14.864,,,,
82,07/09/13 10:40:53 AM,14.768,,,,
83,07/09/13 10:55:53 AM,12.582,,,,
84,07/09/13 11:10:53 AM,11.175,,,,
85,07/09/13 11:25:53 AM,10.541,,,,
86,07/09/13 11:40:53 AM,10.394,,,,
87,07/09/13 11:55:53 AM,10.590,,,,
88,07/09/13 12:10:53 PM,10.565,,,,
89,07/09/13 12:25:53 PM,10.394,,,,
90,07/09/13 12:40:53 PM,10.541,,,,
91,07/09/13 12:55:53 PM,10.369,,,,
92,07/09/13 01:10:53 PM,10.369,,,,
93,07/09/13 01:25:53 PM,10.394,,,,
94,07/09/13 01:40:53 PM,10.687,,,,
95,07/09/13 01:55:53 PM,10.663,,,,
96,07/09/13 02:10:53 PM,10.736,,,,
97,07/09/13 02:25:53 PM,10.736,,,,
98,07/09/13 02:40:53 PM,10.810,,,,
99,07/09/13 02:55:53 PM,10.883,,,,
100,07/09/13 03:10:53 PM,10.736,,,,
101,07/09/13 03:25:53 PM,10.785,,,,
102,07/09/13 03:40:53 PM,10.785,,,,
103,07/09/13 03:55:53 PM,10.565,,,,
104,07/09/13 04:10:53 PM,10.614,,,,
105,07/09/13 04:25:53 PM,10.443,,,,
106,07/09/13 04:40:53 PM,10.590,,,,
107,07/09/13 04:55:53 PM,10.565,,,,
108,07/09/13 05:10:53 PM,10.443,,,,
109,07/09/13 05:25:53 PM,10.345,,,,
110,07/09/13 05:40:53 PM,10.516,,,,
111,07/09/13 05:55:53 PM,10.443,,,,
112,07/09/13 06:10:53 PM,10.858,,,,
113,07/09/13 06:25:53 PM,11.053,,,,
114,07/09/13 06:40:53 PM,11.686,,,,
115,07/09/13 06:55:53 PM,12.122,,,,
116,07/09/13 07:10:53 PM,12.098,,,,
117,07/09/13 07:25:53 PM,12.268,,,,
118,07/09/13 07:40:53 PM,11.856,,,,
119,07/09/13 07:55:53 PM,12.195,,,,
120,07/09/13 08:10:53 PM,11.540,,,,
121,07/09/13 08:25:53 PM,11.467,,,,
122,07/09/13 08:40:53 PM,10.541,,,,
123,07/09/13 08:55:53 PM,10.222,,,,
124,07/09/13 09:10:53 PM,10.051,,,,
125,07/09/13 09:25:53 PM,10.149,,,,
126,07/09/13 09:40:53 PM,9.805,,,,
127,07/09/13 09:55:53 PM,9.657,,,,
128,07/09/13 10:10:53 PM,9.460,,,,
129,07/09/13 10:25:53 PM,9.336,,,,
130,07/09/13 10:40:53 PM,9.312,,,,
131,07/09/13 10:55:53 PM,9.238,,,,
132,07/09/13 11:10:53 PM,9.213,,,,
133,07/09/13 11:25:53 PM,9.262,,,,
134,07/09/13 11:40:53 PM,9.238,,,,
135,07/09/13 11:55:53 PM,9.262,,,,
