"Plot Title: 10325598"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10325598, SEN S/N: 10325598)","Coupler Detached (LGR S/N: 10325598)","Coupler Attached (LGR S/N: 10325598)","Stopped (LGR S/N: 10325598)","End Of File (LGR S/N: 10325598)"
1,07/08/13 02:43:02 PM,25.283,,,,
2,07/08/13 02:43:44 PM,,Logged,,,
3,07/08/13 02:58:02 PM,25.939,,,,
4,07/08/13 03:13:02 PM,25.162,,,,
5,07/08/13 03:28:02 PM,24.798,,,,
6,07/08/13 03:43:02 PM,24.605,,,,
7,07/08/13 03:58:02 PM,24.412,,,,
8,07/08/13 04:13:02 PM,23.857,,,,
9,07/08/13 04:28:02 PM,23.497,,,,
10,07/08/13 04:43:02 PM,23.328,,,,
11,07/08/13 04:58:02 PM,26.744,,,,
12,07/08/13 05:13:02 PM,25.744,,,,
13,07/08/13 05:28:02 PM,24.944,,,,
14,07/08/13 05:43:02 PM,24.871,,,,
15,07/08/13 05:58:02 PM,25.065,,,,
16,07/08/13 06:13:02 PM,24.629,,,,
17,07/08/13 06:28:02 PM,24.171,,,,
18,07/08/13 06:43:02 PM,23.809,,,,
19,07/08/13 06:58:02 PM,23.593,,,,
20,07/08/13 07:13:02 PM,23.472,,,,
21,07/08/13 07:28:02 PM,23.376,,,,
22,07/08/13 07:43:02 PM,23.328,,,,
23,07/08/13 07:58:02 PM,23.304,,,,
24,07/08/13 08:13:02 PM,23.280,,,,
25,07/08/13 08:28:02 PM,23.184,,,,
26,07/08/13 08:43:02 PM,23.088,,,,
27,07/08/13 08:58:02 PM,23.040,,,,
28,07/08/13 09:13:02 PM,22.968,,,,
29,07/08/13 09:28:02 PM,22.944,,,,
30,07/08/13 09:43:02 PM,22.824,,,,
31,07/08/13 09:58:02 PM,22.753,,,,
32,07/08/13 10:13:02 PM,22.729,,,,
33,07/08/13 10:28:02 PM,22.753,,,,
34,07/08/13 10:43:02 PM,22.753,,,,
35,07/08/13 10:58:02 PM,22.800,,,,
36,07/08/13 11:13:02 PM,22.848,,,,
37,07/08/13 11:28:02 PM,22.800,,,,
38,07/08/13 11:43:02 PM,22.729,,,,
39,07/08/13 11:58:02 PM,22.657,,,,
40,07/09/13 12:13:02 AM,22.561,,,,
41,07/09/13 12:28:02 AM,22.489,,,,
42,07/09/13 12:43:02 AM,22.393,,,,
43,07/09/13 12:58:02 AM,22.321,,,,
44,07/09/13 01:13:02 AM,22.226,,,,
45,07/09/13 01:28:02 AM,22.154,,,,
46,07/09/13 01:43:02 AM,22.082,,,,
47,07/09/13 01:58:02 AM,21.987,,,,
48,07/09/13 02:13:02 AM,21.891,,,,
49,07/09/13 02:28:02 AM,21.819,,,,
50,07/09/13 02:43:02 AM,21.724,,,,
51,07/09/13 02:58:02 AM,21.652,,,,
52,07/09/13 03:13:02 AM,21.557,,,,
53,07/09/13 03:28:02 AM,21.461,,,,
54,07/09/13 03:43:02 AM,21.366,,,,
55,07/09/13 03:58:02 AM,21.270,,,,
56,07/09/13 04:13:02 AM,20.627,,,,
57,07/09/13 04:28:02 AM,19.627,,,,
58,07/09/13 04:43:02 AM,18.794,,,,
59,07/09/13 04:58:02 AM,18.176,,,,
60,07/09/13 05:13:02 AM,17.772,,,,
61,07/09/13 05:28:02 AM,17.344,,,,
62,07/09/13 05:43:02 AM,16.939,,,,
63,07/09/13 05:58:02 AM,16.511,,,,
64,07/09/13 06:13:02 AM,15.509,,,,
65,07/09/13 06:28:02 AM,14.577,,,,
66,07/09/13 06:43:02 AM,13.930,,,,
67,07/09/13 06:58:02 AM,13.473,,,,
68,07/09/13 07:13:02 AM,13.088,,,,
69,07/09/13 07:28:02 AM,12.823,,,,
70,07/09/13 07:43:02 AM,12.630,,,,
71,07/09/13 07:58:02 AM,12.461,,,,
72,07/09/13 08:13:02 AM,12.485,,,,
73,07/09/13 08:28:02 AM,12.485,,,,
74,07/09/13 08:43:02 AM,12.437,,,,
75,07/09/13 08:58:02 AM,12.219,,,,
76,07/09/13 09:13:02 AM,12.654,,,,
77,07/09/13 09:28:02 AM,13.257,,,,
78,07/09/13 09:43:02 AM,13.016,,,,
79,07/09/13 09:58:02 AM,13.161,,,,
80,07/09/13 10:13:02 AM,12.751,,,,
81,07/09/13 10:28:02 AM,11.832,,,,
82,07/09/13 10:43:02 AM,12.074,,,,
83,07/09/13 10:58:02 AM,11.516,,,,
84,07/09/13 11:13:02 AM,10.956,,,,
85,07/09/13 11:28:02 AM,10.051,,,,
86,07/09/13 11:43:02 AM,10.198,,,,
87,07/09/13 11:58:02 AM,10.345,,,,
88,07/09/13 12:13:02 PM,10.198,,,,
89,07/09/13 12:28:02 PM,10.247,,,,
90,07/09/13 12:43:02 PM,10.222,,,,
91,07/09/13 12:58:02 PM,10.320,,,,
92,07/09/13 01:13:02 PM,10.271,,,,
93,07/09/13 01:28:02 PM,10.320,,,,
94,07/09/13 01:43:02 PM,10.418,,,,
95,07/09/13 01:58:02 PM,10.418,,,,
96,07/09/13 02:13:02 PM,10.541,,,,
97,07/09/13 02:28:02 PM,10.614,,,,
98,07/09/13 02:43:02 PM,10.614,,,,
99,07/09/13 02:58:02 PM,10.687,,,,
100,07/09/13 03:13:02 PM,10.565,,,,
101,07/09/13 03:28:02 PM,10.541,,,,
102,07/09/13 03:43:02 PM,10.590,,,,
103,07/09/13 03:58:02 PM,10.492,,,,
104,07/09/13 04:13:02 PM,10.394,,,,
105,07/09/13 04:28:02 PM,10.345,,,,
106,07/09/13 04:43:02 PM,10.394,,,,
107,07/09/13 04:58:02 PM,10.369,,,,
108,07/09/13 05:13:02 PM,10.320,,,,
