"Plot Title: 10321672"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10321672, SEN S/N: 10321672)","Coupler Detached (LGR S/N: 10321672)","Coupler Attached (LGR S/N: 10321672)","Stopped (LGR S/N: 10321672)","End Of File (LGR S/N: 10321672)"
1,07/08/13 02:37:20 PM,26.793,,,,
2,07/08/13 02:37:29 PM,,Logged,,,
3,07/08/13 02:52:20 PM,26.304,,,,
4,07/08/13 03:07:20 PM,25.089,,,,
5,07/08/13 03:22:20 PM,27.801,,,,
6,07/08/13 03:37:20 PM,27.481,,,,
7,07/08/13 03:52:20 PM,25.550,,,,
8,07/08/13 04:07:20 PM,24.847,,,,
9,07/08/13 04:22:20 PM,24.267,,,,
10,07/08/13 04:37:20 PM,23.833,,,,
11,07/08/13 04:52:20 PM,23.713,,,,
12,07/08/13 05:07:20 PM,23.857,,,,
13,07/08/13 05:22:20 PM,23.881,,,,
14,07/08/13 05:37:20 PM,23.930,,,,
15,07/08/13 05:52:20 PM,24.774,,,,
16,07/08/13 06:07:20 PM,24.677,,,,
17,07/08/13 06:22:20 PM,24.267,,,,
18,07/08/13 06:37:20 PM,23.930,,,,
19,07/08/13 06:52:20 PM,23.689,,,,
20,07/08/13 07:07:20 PM,23.545,,,,
21,07/08/13 07:22:20 PM,23.448,,,,
22,07/08/13 07:37:20 PM,23.376,,,,
23,07/08/13 07:52:20 PM,23.352,,,,
24,07/08/13 08:07:20 PM,23.328,,,,
25,07/08/13 08:22:20 PM,23.232,,,,
26,07/08/13 08:37:20 PM,23.136,,,,
27,07/08/13 08:52:20 PM,23.040,,,,
28,07/08/13 09:07:20 PM,22.968,,,,
29,07/08/13 09:22:20 PM,22.920,,,,
30,07/08/13 09:37:20 PM,22.824,,,,
31,07/08/13 09:52:20 PM,22.729,,,,
32,07/08/13 10:07:20 PM,22.705,,,,
33,07/08/13 10:22:20 PM,22.705,,,,
34,07/08/13 10:37:20 PM,22.729,,,,
35,07/08/13 10:52:20 PM,22.753,,,,
36,07/08/13 11:07:20 PM,22.824,,,,
37,07/08/13 11:22:20 PM,22.824,,,,
38,07/08/13 11:37:20 PM,22.776,,,,
39,07/08/13 11:52:20 PM,22.705,,,,
40,07/09/13 12:07:20 AM,22.633,,,,
41,07/09/13 12:22:20 AM,22.561,,,,
42,07/09/13 12:37:20 AM,22.465,,,,
43,07/09/13 12:52:20 AM,22.393,,,,
44,07/09/13 01:07:20 AM,22.321,,,,
45,07/09/13 01:22:20 AM,22.250,,,,
46,07/09/13 01:37:20 AM,22.178,,,,
47,07/09/13 01:52:20 AM,22.082,,,,
48,07/09/13 02:07:20 AM,22.011,,,,
49,07/09/13 02:22:20 AM,21.939,,,,
50,07/09/13 02:37:20 AM,21.843,,,,
51,07/09/13 02:52:20 AM,21.748,,,,
52,07/09/13 03:07:20 AM,21.676,,,,
53,07/09/13 03:22:20 AM,21.581,,,,
54,07/09/13 03:37:20 AM,21.485,,,,
55,07/09/13 03:52:20 AM,21.390,,,,
56,07/09/13 04:07:20 AM,21.199,,,,
57,07/09/13 04:22:20 AM,20.365,,,,
58,07/09/13 04:37:20 AM,19.484,,,,
59,07/09/13 04:52:20 AM,18.794,,,,
60,07/09/13 05:07:20 AM,18.295,,,,
61,07/09/13 05:22:20 AM,17.938,,,,
62,07/09/13 05:37:20 AM,17.201,,,,
63,07/09/13 05:52:20 AM,17.272,,,,
64,07/09/13 06:07:20 AM,16.915,,,,
65,07/09/13 06:22:20 AM,16.392,,,,
66,07/09/13 06:37:20 AM,15.986,,,,
67,07/09/13 06:52:20 AM,15.629,,,,
68,07/09/13 07:07:20 AM,15.270,,,,
69,07/09/13 07:22:20 AM,14.984,,,,
70,07/09/13 07:37:20 AM,14.721,,,,
71,07/09/13 07:52:20 AM,14.481,,,,
72,07/09/13 08:07:20 AM,14.337,,,,
73,07/09/13 08:22:20 AM,14.242,,,,
74,07/09/13 08:37:20 AM,12.944,,,,
75,07/09/13 08:52:20 AM,12.147,,,,
76,07/09/13 09:07:20 AM,12.968,,,,
77,07/09/13 09:22:20 AM,12.968,,,,
78,07/09/13 09:37:20 AM,13.762,,,,
79,07/09/13 09:52:20 AM,13.930,,,,
