"Plot Title: 10321671"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10321671, SEN S/N: 10321671)","Coupler Detached (LGR S/N: 10321671)","Coupler Attached (LGR S/N: 10321671)","Stopped (LGR S/N: 10321671)","End Of File (LGR S/N: 10321671)"
1,07/08/13 02:44:31 PM,25.040,,,,
2,07/08/13 02:44:42 PM,,Logged,,,
3,07/08/13 02:59:31 PM,26.109,,,,
4,07/08/13 03:14:31 PM,25.113,,,,
5,07/08/13 03:29:31 PM,24.702,,,,
6,07/08/13 03:44:31 PM,24.508,,,,
7,07/08/13 03:59:31 PM,24.363,,,,
8,07/08/13 04:14:31 PM,23.881,,,,
9,07/08/13 04:29:31 PM,23.545,,,,
10,07/08/13 04:44:31 PM,23.448,,,,
11,07/08/13 04:59:31 PM,23.809,,,,
12,07/08/13 05:14:31 PM,26.891,,,,
13,07/08/13 05:29:31 PM,25.744,,,,
14,07/08/13 05:44:31 PM,25.841,,,,
15,07/08/13 05:59:31 PM,25.817,,,,
16,07/08/13 06:14:31 PM,25.113,,,,
17,07/08/13 06:29:31 PM,24.557,,,,
18,07/08/13 06:44:31 PM,24.171,,,,
19,07/08/13 06:59:31 PM,23.954,,,,
20,07/08/13 07:14:31 PM,23.809,,,,
21,07/08/13 07:29:31 PM,23.737,,,,
22,07/08/13 07:44:31 PM,23.665,,,,
23,07/08/13 07:59:31 PM,23.617,,,,
24,07/08/13 08:14:31 PM,23.569,,,,
25,07/08/13 08:29:31 PM,23.448,,,,
26,07/08/13 08:44:31 PM,23.352,,,,
27,07/08/13 08:59:31 PM,23.304,,,,
28,07/08/13 09:14:31 PM,23.256,,,,
29,07/08/13 09:29:31 PM,23.160,,,,
30,07/08/13 09:44:31 PM,22.968,,,,
31,07/08/13 09:59:31 PM,22.944,,,,
32,07/08/13 10:14:31 PM,22.968,,,,
33,07/08/13 10:29:31 PM,23.016,,,,
34,07/08/13 10:44:31 PM,23.040,,,,
35,07/08/13 10:59:31 PM,23.040,,,,
36,07/08/13 11:14:31 PM,22.992,,,,
37,07/08/13 11:29:31 PM,22.872,,,,
38,07/08/13 11:44:31 PM,22.776,,,,
39,07/08/13 11:59:31 PM,22.681,,,,
40,07/09/13 12:14:31 AM,22.561,,,,
41,07/09/13 12:29:31 AM,22.489,,,,
42,07/09/13 12:44:31 AM,22.393,,,,
43,07/09/13 12:59:31 AM,22.298,,,,
44,07/09/13 01:14:31 AM,22.226,,,,
45,07/09/13 01:29:31 AM,22.130,,,,
46,07/09/13 01:44:31 AM,22.058,,,,
47,07/09/13 01:59:31 AM,21.939,,,,
48,07/09/13 02:14:31 AM,21.843,,,,
49,07/09/13 02:29:31 AM,21.748,,,,
50,07/09/13 02:44:31 AM,21.652,,,,
51,07/09/13 02:59:31 AM,21.557,,,,
52,07/09/13 03:14:31 AM,21.461,,,,
53,07/09/13 03:29:31 AM,21.342,,,,
54,07/09/13 03:44:31 AM,21.246,,,,
55,07/09/13 03:59:31 AM,21.175,,,,
56,07/09/13 04:14:31 AM,20.436,,,,
57,07/09/13 04:29:31 AM,19.270,,,,
58,07/09/13 04:44:31 AM,18.295,,,,
59,07/09/13 04:59:31 AM,17.605,,,,
60,07/09/13 05:14:31 AM,17.153,,,,
61,07/09/13 05:29:31 AM,16.368,,,,
62,07/09/13 05:44:31 AM,16.368,,,,
63,07/09/13 05:59:31 AM,16.392,,,,
64,07/09/13 06:14:31 AM,15.772,,,,
65,07/09/13 06:29:31 AM,15.127,,,,
66,07/09/13 06:44:31 AM,14.601,,,,
67,07/09/13 06:59:31 AM,14.194,,,,
68,07/09/13 07:14:31 AM,13.810,,,,
69,07/09/13 07:29:31 AM,13.522,,,,
70,07/09/13 07:44:31 AM,13.257,,,,
