"Plot Title: Yachats_Summer2017"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10321669, SEN S/N: 10321669)","Coupler Detached (LGR S/N: 10321669)","Coupler Attached (LGR S/N: 10321669)","Host Connected (LGR S/N: 10321669)","Stopped (LGR S/N: 10321669)","End Of File (LGR S/N: 10321669)"
1,05/25/17 07:00:00 AM,10.075,Logged,,,,
2,05/25/17 07:15:00 AM,9.558,,,,,
3,05/25/17 07:30:00 AM,10.712,,,,,
4,05/25/17 07:45:00 AM,12.534,,,,,
5,05/25/17 08:00:00 AM,13.978,,,,,
6,05/25/17 08:15:00 AM,15.772,,,,,
7,05/25/17 08:30:00 AM,17.106,,,,,
8,05/25/17 08:45:00 AM,18.271,,,,,
9,05/25/17 09:00:00 AM,18.937,,,,,
10,05/25/17 09:15:00 AM,15.318,,,,,
11,05/25/17 09:30:00 AM,10.443,,,,,
12,05/25/17 09:45:00 AM,9.805,,,,,
13,05/25/17 10:00:00 AM,10.001,,,,,
14,05/25/17 10:15:00 AM,9.903,,,,,
15,05/25/17 10:30:00 AM,9.854,,,,,
16,05/25/17 10:45:00 AM,9.977,,,,,
17,05/25/17 11:00:00 AM,10.051,,,,,
18,05/25/17 11:15:00 AM,10.075,,,,,
19,05/25/17 11:30:00 AM,9.977,,,,,
20,05/25/17 11:45:00 AM,10.075,,,,,
21,05/25/17 12:00:00 PM,10.001,,,,,
22,05/25/17 12:15:00 PM,9.977,,,,,
23,05/25/17 12:30:00 PM,10.001,,,,,
24,05/25/17 12:45:00 PM,9.977,,,,,
25,05/25/17 01:00:00 PM,10.026,,,,,
26,05/25/17 01:15:00 PM,9.977,,,,,
27,05/25/17 01:30:00 PM,10.051,,,,,
28,05/25/17 01:45:00 PM,10.100,,,,,
29,05/25/17 02:00:00 PM,9.977,,,,,
30,05/25/17 02:15:00 PM,10.198,,,,,
31,05/25/17 02:30:00 PM,10.247,,,,,
32,05/25/17 02:45:00 PM,10.149,,,,,
33,05/25/17 03:00:00 PM,10.345,,,,,
34,05/25/17 03:15:00 PM,10.467,,,,,
35,05/25/17 03:30:00 PM,10.492,,,,,
36,05/25/17 03:45:00 PM,10.467,,,,,
37,05/25/17 04:00:00 PM,10.785,,,,,
38,05/25/17 04:15:00 PM,10.663,,,,,
39,05/25/17 04:30:00 PM,11.783,,,,,
40,05/25/17 04:45:00 PM,11.151,,,,,
41,05/25/17 05:00:00 PM,11.783,,,,,
42,05/25/17 05:15:00 PM,11.394,,,,,
43,05/25/17 05:30:00 PM,11.856,,,,,
44,05/25/17 05:45:00 PM,13.425,,,,,
45,05/25/17 06:00:00 PM,12.171,,,,,
46,05/25/17 06:15:00 PM,13.016,,,,,
47,05/25/17 06:30:00 PM,12.727,,,,,
48,05/25/17 06:45:00 PM,13.497,,,,,
49,05/25/17 07:00:00 PM,11.273,,,,,
50,05/25/17 07:15:00 PM,11.929,,,,,
51,05/25/17 07:30:00 PM,11.370,,,,,
