"Plot Title: Yachats_Summer2017"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485339, SEN S/N: 10485339)","Coupler Detached (LGR S/N: 10485339)","Coupler Attached (LGR S/N: 10485339)","Host Connected (LGR S/N: 10485339)","Stopped (LGR S/N: 10485339)","End Of File (LGR S/N: 10485339)"
1,05/25/17 07:00:00 AM,9.238,Logged,,,,
2,05/25/17 07:15:00 AM,9.952,,,,,
3,05/25/17 07:30:00 AM,10.761,,,,,
4,05/25/17 07:45:00 AM,11.127,,,,,
5,05/25/17 08:00:00 AM,11.565,,,,,
6,05/25/17 08:15:00 AM,12.292,,,,,
7,05/25/17 08:30:00 AM,12.582,,,,,
8,05/25/17 08:45:00 AM,11.783,,,,,
9,05/25/17 09:00:00 AM,9.805,,,,,
10,05/25/17 09:15:00 AM,9.534,,,,,
11,05/25/17 09:30:00 AM,9.534,,,,,
12,05/25/17 09:45:00 AM,9.386,,,,,
13,05/25/17 10:00:00 AM,9.509,,,,,
14,05/25/17 10:15:00 AM,9.485,,,,,
15,05/25/17 10:30:00 AM,9.558,,,,,
16,05/25/17 10:45:00 AM,9.657,,,,,
17,05/25/17 11:00:00 AM,9.756,,,,,
18,05/25/17 11:15:00 AM,9.780,,,,,
19,05/25/17 11:30:00 AM,9.706,,,,,
20,05/25/17 11:45:00 AM,9.879,,,,,
21,05/25/17 12:00:00 PM,9.805,,,,,
22,05/25/17 12:15:00 PM,9.780,,,,,
23,05/25/17 12:30:00 PM,9.829,,,,,
24,05/25/17 12:45:00 PM,9.829,,,,,
25,05/25/17 01:00:00 PM,9.780,,,,,
26,05/25/17 01:15:00 PM,9.805,,,,,
27,05/25/17 01:30:00 PM,9.829,,,,,
28,05/25/17 01:45:00 PM,9.879,,,,,
29,05/25/17 02:00:00 PM,9.805,,,,,
30,05/25/17 02:15:00 PM,9.903,,,,,
31,05/25/17 02:30:00 PM,9.952,,,,,
32,05/25/17 02:45:00 PM,9.903,,,,,
33,05/25/17 03:00:00 PM,10.026,,,,,
34,05/25/17 03:15:00 PM,10.075,,,,,
35,05/25/17 03:30:00 PM,10.149,,,,,
36,05/25/17 03:45:00 PM,10.222,,,,,
