"Plot Title: Yachats-HighBarnacleBench"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10325595, SEN S/N: 10325595)","Coupler Detached (LGR S/N: 10325595)","Coupler Attached (LGR S/N: 10325595)","Stopped (LGR S/N: 10325595)","End Of File (LGR S/N: 10325595)"
1,06/13/14 05:00:00 AM,17.653,Logged,,,
2,06/13/14 05:15:00 AM,18.033,,,,
3,06/13/14 05:30:00 AM,18.509,,,,
4,06/13/14 05:45:00 AM,18.985,,,,
5,06/13/14 06:00:00 AM,19.318,,,,
6,06/13/14 06:15:00 AM,18.509,,,,
7,06/13/14 06:30:00 AM,16.987,,,,
8,06/13/14 06:45:00 AM,16.010,,,,
9,06/13/14 07:00:00 AM,14.625,,,,
10,06/13/14 07:15:00 AM,14.122,,,,
11,06/13/14 07:30:00 AM,13.546,,,,
12,06/13/14 07:45:00 AM,12.775,,,,
13,06/13/14 08:00:00 AM,12.606,,,,
14,06/13/14 08:15:00 AM,12.509,,,,
15,06/13/14 08:30:00 AM,12.558,,,,
16,06/13/14 08:45:00 AM,12.630,,,,
17,06/13/14 09:00:00 AM,12.316,,,,
18,06/13/14 09:15:00 AM,12.340,,,,
19,06/13/14 09:30:00 AM,12.316,,,,
20,06/13/14 09:45:00 AM,11.419,,,,
21,06/13/14 10:00:00 AM,11.127,,,,
22,06/13/14 10:15:00 AM,10.956,,,,
23,06/13/14 10:30:00 AM,11.053,,,,
24,06/13/14 10:45:00 AM,10.834,,,,
25,06/13/14 11:00:00 AM,10.810,,,,
26,06/13/14 11:15:00 AM,10.907,,,,
27,06/13/14 11:30:00 AM,11.005,,,,
28,06/13/14 11:45:00 AM,10.932,,,,
29,06/13/14 12:00:00 PM,10.883,,,,
30,06/13/14 12:15:00 PM,10.883,,,,
31,06/13/14 12:30:00 PM,10.907,,,,
32,06/13/14 12:45:00 PM,10.980,,,,
33,06/13/14 01:00:00 PM,10.956,,,,
34,06/13/14 01:15:00 PM,10.883,,,,
35,06/13/14 01:30:00 PM,10.810,,,,
36,06/13/14 01:45:00 PM,11.005,,,,
37,06/13/14 02:00:00 PM,11.005,,,,
38,06/13/14 02:15:00 PM,10.956,,,,
39,06/13/14 02:30:00 PM,11.029,,,,
40,06/13/14 02:45:00 PM,11.053,,,,
41,06/13/14 03:00:00 PM,10.956,,,,
42,06/13/14 03:15:00 PM,10.956,,,,
43,06/13/14 03:30:00 PM,11.029,,,,
44,06/13/14 03:45:00 PM,11.175,,,,
45,06/13/14 04:00:00 PM,11.224,,,,
46,06/13/14 04:15:00 PM,11.662,,,,
47,06/13/14 04:30:00 PM,11.175,,,,
48,06/13/14 04:45:00 PM,11.297,,,,
49,06/13/14 05:00:00 PM,11.370,,,,
50,06/13/14 05:15:00 PM,11.516,,,,
51,06/13/14 05:30:00 PM,11.807,,,,
52,06/13/14 05:45:00 PM,11.492,,,,
53,06/13/14 06:00:00 PM,11.904,,,,
54,06/13/14 06:15:00 PM,11.977,,,,
55,06/13/14 06:30:00 PM,12.799,,,,
56,06/13/14 06:45:00 PM,12.727,,,,
57,06/13/14 07:00:00 PM,12.509,,,,
58,06/13/14 07:15:00 PM,11.516,,,,
59,06/13/14 07:30:00 PM,11.540,,,,
60,06/13/14 07:45:00 PM,11.224,,,,
61,06/13/14 08:00:00 PM,11.151,,,,
62,06/13/14 08:15:00 PM,11.029,,,,
63,06/13/14 08:30:00 PM,11.005,,,,
64,06/13/14 08:45:00 PM,10.980,,,,
65,06/13/14 09:00:00 PM,10.956,,,,
66,06/13/14 09:15:00 PM,10.907,,,,
67,06/13/14 09:30:00 PM,10.907,,,,
68,06/13/14 09:45:00 PM,10.932,,,,
69,06/13/14 10:00:00 PM,10.932,,,,
70,06/13/14 10:15:00 PM,10.956,,,,
71,06/13/14 10:30:00 PM,10.932,,,,
72,06/13/14 10:45:00 PM,10.980,,,,
