"Plot Title: Yachats-Bench3Plot18"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10321670, SEN S/N: 10321670)","Coupler Detached (LGR S/N: 10321670)","Coupler Attached (LGR S/N: 10321670)","Stopped (LGR S/N: 10321670)","End Of File (LGR S/N: 10321670)"
1,06/13/14 05:00:00 AM,16.987,Logged,,,
2,06/13/14 05:15:00 AM,17.296,,,,
3,06/13/14 05:30:00 AM,17.701,,,,
4,06/13/14 05:45:00 AM,18.176,,,,
5,06/13/14 06:00:00 AM,18.628,,,,
6,06/13/14 06:15:00 AM,18.509,,,,
7,06/13/14 06:30:00 AM,17.082,,,,
8,06/13/14 06:45:00 AM,17.011,,,,
9,06/13/14 07:00:00 AM,14.840,,,,
10,06/13/14 07:15:00 AM,16.129,,,,
11,06/13/14 07:30:00 AM,12.944,,,,
12,06/13/14 07:45:00 AM,12.654,,,,
13,06/13/14 08:00:00 AM,12.630,,,,
14,06/13/14 08:15:00 AM,12.558,,,,
15,06/13/14 08:30:00 AM,12.630,,,,
16,06/13/14 08:45:00 AM,12.727,,,,
17,06/13/14 09:00:00 AM,12.437,,,,
18,06/13/14 09:15:00 AM,12.437,,,,
19,06/13/14 09:30:00 AM,12.389,,,,
20,06/13/14 09:45:00 AM,12.219,,,,
21,06/13/14 10:00:00 AM,11.394,,,,
22,06/13/14 10:15:00 AM,11.029,,,,
23,06/13/14 10:30:00 AM,11.175,,,,
24,06/13/14 10:45:00 AM,10.785,,,,
25,06/13/14 11:00:00 AM,10.761,,,,
26,06/13/14 11:15:00 AM,10.834,,,,
27,06/13/14 11:30:00 AM,11.005,,,,
28,06/13/14 11:45:00 AM,10.883,,,,
29,06/13/14 12:00:00 PM,10.907,,,,
30,06/13/14 12:15:00 PM,10.858,,,,
31,06/13/14 12:30:00 PM,10.956,,,,
32,06/13/14 12:45:00 PM,11.078,,,,
33,06/13/14 01:00:00 PM,11.053,,,,
34,06/13/14 01:15:00 PM,10.932,,,,
35,06/13/14 01:30:00 PM,10.883,,,,
36,06/13/14 01:45:00 PM,11.005,,,,
37,06/13/14 02:00:00 PM,11.127,,,,
38,06/13/14 02:15:00 PM,11.102,,,,
39,06/13/14 02:30:00 PM,11.248,,,,
40,06/13/14 02:45:00 PM,11.175,,,,
41,06/13/14 03:00:00 PM,10.932,,,,
42,06/13/14 03:15:00 PM,10.932,,,,
43,06/13/14 03:30:00 PM,11.053,,,,
44,06/13/14 03:45:00 PM,11.248,,,,
45,06/13/14 04:00:00 PM,11.151,,,,
46,06/13/14 04:15:00 PM,11.394,,,,
47,06/13/14 04:30:00 PM,11.248,,,,
48,06/13/14 04:45:00 PM,11.394,,,,
49,06/13/14 05:00:00 PM,11.419,,,,
50,06/13/14 05:15:00 PM,11.856,,,,
51,06/13/14 05:30:00 PM,11.929,,,,
52,06/13/14 05:45:00 PM,11.807,,,,
53,06/13/14 06:00:00 PM,12.340,,,,
54,06/13/14 06:15:00 PM,12.195,,,,
55,06/13/14 06:30:00 PM,12.606,,,,
56,06/13/14 06:45:00 PM,13.497,,,,
57,06/13/14 07:00:00 PM,13.040,,,,
58,06/13/14 07:15:00 PM,11.904,,,,
59,06/13/14 07:30:00 PM,11.589,,,,
60,06/13/14 07:45:00 PM,11.321,,,,
61,06/13/14 08:00:00 PM,11.127,,,,
62,06/13/14 08:15:00 PM,11.029,,,,
63,06/13/14 08:30:00 PM,11.005,,,,
64,06/13/14 08:45:00 PM,10.932,,,,
65,06/13/14 09:00:00 PM,10.907,,,,
66,06/13/14 09:15:00 PM,10.834,,,,
67,06/13/14 09:30:00 PM,10.834,,,,
68,06/13/14 09:45:00 PM,10.883,,,,
69,06/13/14 10:00:00 PM,10.883,,,,
70,06/13/14 10:15:00 PM,10.883,,,,
71,06/13/14 10:30:00 PM,10.883,,,,
72,06/13/14 10:45:00 PM,10.932,,,,
73,06/13/14 11:00:00 PM,10.956,,,,
74,06/13/14 11:15:00 PM,11.005,,,,
75,06/13/14 11:30:00 PM,11.029,,,,
76,06/13/14 11:45:00 PM,11.053,,,,
77,06/14/14 12:00:00 AM,11.029,,,,
78,06/14/14 12:15:00 AM,10.956,,,,
79,06/14/14 12:30:00 AM,10.932,,,,
80,06/14/14 12:45:00 AM,10.834,,,,
81,06/14/14 01:00:00 AM,10.785,,,,
82,06/14/14 01:15:00 AM,10.761,,,,
83,06/14/14 01:30:00 AM,10.761,,,,
84,06/14/14 01:45:00 AM,10.736,,,,
85,06/14/14 02:00:00 AM,10.736,,,,
86,06/14/14 02:15:00 AM,10.736,,,,
87,06/14/14 02:30:00 AM,10.736,,,,
88,06/14/14 02:45:00 AM,10.736,,,,
89,06/14/14 03:00:00 AM,10.736,,,,
90,06/14/14 03:15:00 AM,10.736,,,,
91,06/14/14 03:30:00 AM,10.736,,,,
92,06/14/14 03:45:00 AM,10.736,,,,
93,06/14/14 04:00:00 AM,10.736,,,,
94,06/14/14 04:15:00 AM,10.736,,,,
95,06/14/14 04:30:00 AM,10.736,,,,
96,06/14/14 04:45:00 AM,10.736,,,,
97,06/14/14 05:00:00 AM,10.687,,,,
98,06/14/14 05:15:00 AM,10.663,,,,
99,06/14/14 05:30:00 AM,10.638,,,,
100,06/14/14 05:45:00 AM,10.663,,,,
101,06/14/14 06:00:00 AM,10.663,,,,
102,06/14/14 06:15:00 AM,10.785,,,,
103,06/14/14 06:30:00 AM,10.907,,,,
104,06/14/14 06:45:00 AM,11.053,,,,
105,06/14/14 07:00:00 AM,11.248,,,,
106,06/14/14 07:15:00 AM,11.637,,,,
107,06/14/14 07:30:00 AM,12.268,,,,
108,06/14/14 07:45:00 AM,13.377,,,,
109,06/14/14 08:00:00 AM,13.858,,,,
110,06/14/14 08:15:00 AM,14.721,,,,
111,06/14/14 08:30:00 AM,15.772,,,,
112,06/14/14 08:45:00 AM,17.249,,,,
113,06/14/14 09:00:00 AM,16.892,,,,
114,06/14/14 09:15:00 AM,18.200,,,,
115,06/14/14 09:30:00 AM,16.701,,,,
116,06/14/14 09:45:00 AM,18.390,,,,
117,06/14/14 10:00:00 AM,20.460,,,,
118,06/14/14 10:15:00 AM,21.223,,,,
119,06/14/14 10:30:00 AM,21.652,,,,
120,06/14/14 10:45:00 AM,19.222,,,,
121,06/14/14 11:00:00 AM,19.698,,,,
122,06/14/14 11:15:00 AM,16.296,,,,
123,06/14/14 11:30:00 AM,13.305,,,,
124,06/14/14 11:45:00 AM,12.871,,,,
125,06/14/14 12:00:00 PM,12.847,,,,
126,06/14/14 12:15:00 PM,12.654,,,,
127,06/14/14 12:30:00 PM,12.823,,,,
128,06/14/14 12:45:00 PM,12.992,,,,
129,06/14/14 01:00:00 PM,12.992,,,,
130,06/14/14 01:15:00 PM,12.823,,,,
131,06/14/14 01:30:00 PM,12.968,,,,
132,06/14/14 01:45:00 PM,13.161,,,,
133,06/14/14 02:00:00 PM,13.137,,,,
134,06/14/14 02:15:00 PM,13.112,,,,
135,06/14/14 02:30:00 PM,13.088,,,,
136,06/14/14 02:45:00 PM,13.233,,,,
137,06/14/14 03:00:00 PM,13.233,,,,
138,06/14/14 03:15:00 PM,13.233,,,,
139,06/14/14 03:30:00 PM,13.257,,,,
140,06/14/14 03:45:00 PM,13.209,,,,
141,06/14/14 04:00:00 PM,13.281,,,,
142,06/14/14 04:15:00 PM,13.257,,,,
143,06/14/14 04:30:00 PM,13.305,,,,
144,06/14/14 04:45:00 PM,13.112,,,,
145,06/14/14 05:00:00 PM,13.233,,,,
146,06/14/14 05:15:00 PM,13.064,,,,
147,06/14/14 05:30:00 PM,13.305,,,,
148,06/14/14 05:45:00 PM,13.064,,,,
149,06/14/14 06:00:00 PM,12.871,,,,
150,06/14/14 06:15:00 PM,12.920,,,,
151,06/14/14 06:30:00 PM,13.570,,,,
152,06/14/14 06:45:00 PM,14.050,,,,
153,06/14/14 07:00:00 PM,14.122,,,,
154,06/14/14 07:15:00 PM,13.618,,,,
155,06/14/14 07:30:00 PM,12.896,,,,
156,06/14/14 07:45:00 PM,12.727,,,,
157,06/14/14 08:00:00 PM,12.389,,,,
158,06/14/14 08:15:00 PM,12.292,,,,
159,06/14/14 08:30:00 PM,12.001,,,,
160,06/14/14 08:45:00 PM,11.832,,,,
161,06/14/14 09:00:00 PM,11.832,,,,
162,06/14/14 09:15:00 PM,11.734,,,,
163,06/14/14 09:30:00 PM,11.759,,,,
164,06/14/14 09:45:00 PM,11.710,,,,
165,06/14/14 10:00:00 PM,11.686,,,,
166,06/14/14 10:15:00 PM,11.759,,,,
167,06/14/14 10:30:00 PM,11.613,,,,
168,06/14/14 10:45:00 PM,11.637,,,,
169,06/14/14 11:00:00 PM,11.710,,,,
170,06/14/14 11:15:00 PM,11.710,,,,
171,06/14/14 11:30:00 PM,11.637,,,,
172,06/14/14 11:45:00 PM,11.637,,,,
173,06/15/14 12:00:00 AM,11.662,,,,
174,06/15/14 12:15:00 AM,11.686,,,,
175,06/15/14 12:30:00 AM,11.686,,,,
176,06/15/14 12:45:00 AM,11.686,,,,
177,06/15/14 01:00:00 AM,11.662,,,,
178,06/15/14 01:15:00 AM,11.710,,,,
179,06/15/14 01:30:00 AM,11.637,,,,
180,06/15/14 01:45:00 AM,11.175,,,,
181,06/15/14 02:00:00 AM,11.151,,,,
182,06/15/14 02:15:00 AM,10.932,,,,
183,06/15/14 02:30:00 AM,11.053,,,,
184,06/15/14 02:45:00 AM,10.638,,,,
