"Plot Title: YB C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485381, SEN S/N: 10485381)","Coupler Detached (LGR S/N: 10485381)","Coupler Attached (LGR S/N: 10485381)","Stopped (LGR S/N: 10485381)","End Of File (LGR S/N: 10485381)"
1,04/08/16 06:00:00 AM,16.487,Logged,,,
2,04/08/16 06:15:00 AM,14.816,,,,
3,04/08/16 06:30:00 AM,13.954,,,,
4,04/08/16 06:45:00 AM,13.401,,,,
5,04/08/16 07:00:00 AM,13.016,,,,
6,04/08/16 07:15:00 AM,12.727,,,,
7,04/08/16 07:30:00 AM,12.509,,,,
8,04/08/16 07:45:00 AM,12.340,,,,
9,04/08/16 08:00:00 AM,12.219,,,,
10,04/08/16 08:15:00 AM,12.147,,,,
11,04/08/16 08:30:00 AM,12.098,,,,
12,04/08/16 08:45:00 AM,12.050,,,,
13,04/08/16 09:00:00 AM,12.219,,,,
14,04/08/16 09:15:00 AM,12.389,,,,
15,04/08/16 09:30:00 AM,12.485,,,,
16,04/08/16 09:45:00 AM,12.558,,,,
17,04/08/16 10:00:00 AM,12.630,,,,
18,04/08/16 10:15:00 AM,12.678,,,,
19,04/08/16 10:30:00 AM,12.727,,,,
20,04/08/16 10:45:00 AM,12.823,,,,
21,04/08/16 11:00:00 AM,12.920,,,,
22,04/08/16 11:15:00 AM,14.026,,,,
23,04/08/16 11:30:00 AM,15.318,,,,
24,04/08/16 11:45:00 AM,16.320,,,,
25,04/08/16 12:00:00 PM,17.130,,,,
26,04/08/16 12:15:00 PM,17.748,,,,
27,04/08/16 12:30:00 PM,18.271,,,,
28,04/08/16 12:45:00 PM,18.699,,,,
29,04/08/16 01:00:00 PM,19.080,,,,
30,04/08/16 01:15:00 PM,19.365,,,,
31,04/08/16 01:30:00 PM,19.627,,,,
32,04/08/16 01:45:00 PM,19.865,,,,
33,04/08/16 02:00:00 PM,20.079,,,,
34,04/08/16 02:15:00 PM,20.246,,,,
35,04/08/16 02:30:00 PM,20.412,,,,
36,04/08/16 02:45:00 PM,20.555,,,,
37,04/08/16 03:00:00 PM,20.698,,,,
38,04/08/16 03:15:00 PM,20.817,,,,
39,04/08/16 03:30:00 PM,20.936,,,,
40,04/08/16 03:45:00 PM,21.032,,,,
41,04/08/16 04:00:00 PM,21.127,,,,
42,04/08/16 04:15:00 PM,21.223,,,,
43,04/08/16 04:30:00 PM,21.294,,,,
44,04/08/16 04:45:00 PM,21.342,,,,
45,04/08/16 05:00:00 PM,21.413,,,,
46,04/08/16 05:15:00 PM,21.461,,,,
47,04/08/16 05:30:00 PM,21.533,,,,
48,04/08/16 05:45:00 PM,21.581,,,,
49,04/08/16 06:00:00 PM,21.628,,,,
50,04/08/16 06:15:00 PM,21.676,,,,
51,04/08/16 06:30:00 PM,21.700,,,,
52,04/08/16 06:45:00 PM,21.724,,,,
53,04/08/16 07:00:00 PM,21.748,,,,
54,04/08/16 07:15:00 PM,21.748,,,,
55,04/08/16 07:30:00 PM,21.748,,,,
56,04/08/16 07:45:00 PM,21.724,,,,
57,04/08/16 08:00:00 PM,21.724,,,,
