"Plot Title: YB B"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10321672, SEN S/N: 10321672)","Coupler Detached (LGR S/N: 10321672)","Coupler Attached (LGR S/N: 10321672)","Stopped (LGR S/N: 10321672)","End Of File (LGR S/N: 10321672)"
1,04/08/16 06:00:00 AM,16.558,Logged,,,
2,04/08/16 06:15:00 AM,15.247,,,,
3,04/08/16 06:30:00 AM,14.337,,,,
4,04/08/16 06:45:00 AM,13.714,,,,
5,04/08/16 07:00:00 AM,13.257,,,,
6,04/08/16 07:15:00 AM,12.944,,,,
7,04/08/16 07:30:00 AM,12.703,,,,
8,04/08/16 07:45:00 AM,12.509,,,,
9,04/08/16 08:00:00 AM,12.389,,,,
10,04/08/16 08:15:00 AM,12.292,,,,
11,04/08/16 08:30:00 AM,12.219,,,,
12,04/08/16 08:45:00 AM,12.195,,,,
13,04/08/16 09:00:00 AM,12.243,,,,
14,04/08/16 09:15:00 AM,12.389,,,,
15,04/08/16 09:30:00 AM,12.485,,,,
16,04/08/16 09:45:00 AM,12.582,,,,
17,04/08/16 10:00:00 AM,12.630,,,,
18,04/08/16 10:15:00 AM,12.703,,,,
19,04/08/16 10:30:00 AM,12.751,,,,
20,04/08/16 10:45:00 AM,12.847,,,,
21,04/08/16 11:00:00 AM,12.968,,,,
22,04/08/16 11:15:00 AM,13.714,,,,
23,04/08/16 11:30:00 AM,15.318,,,,
24,04/08/16 11:45:00 AM,16.463,,,,
25,04/08/16 12:00:00 PM,17.249,,,,
26,04/08/16 12:15:00 PM,17.891,,,,
27,04/08/16 12:30:00 PM,18.390,,,,
28,04/08/16 12:45:00 PM,18.794,,,,
29,04/08/16 01:00:00 PM,19.127,,,,
30,04/08/16 01:15:00 PM,19.365,,,,
31,04/08/16 01:30:00 PM,19.627,,,,
32,04/08/16 01:45:00 PM,19.888,,,,
33,04/08/16 02:00:00 PM,20.103,,,,
34,04/08/16 02:15:00 PM,20.246,,,,
35,04/08/16 02:30:00 PM,20.388,,,,
36,04/08/16 02:45:00 PM,20.555,,,,
37,04/08/16 03:00:00 PM,20.674,,,,
38,04/08/16 03:15:00 PM,20.793,,,,
39,04/08/16 03:30:00 PM,20.913,,,,
40,04/08/16 03:45:00 PM,21.008,,,,
41,04/08/16 04:00:00 PM,21.103,,,,
42,04/08/16 04:15:00 PM,21.175,,,,
43,04/08/16 04:30:00 PM,21.270,,,,
44,04/08/16 04:45:00 PM,21.318,,,,
45,04/08/16 05:00:00 PM,21.390,,,,
46,04/08/16 05:15:00 PM,21.437,,,,
47,04/08/16 05:30:00 PM,21.509,,,,
48,04/08/16 05:45:00 PM,21.557,,,,
49,04/08/16 06:00:00 PM,21.604,,,,
50,04/08/16 06:15:00 PM,21.652,,,,
51,04/08/16 06:30:00 PM,21.700,,,,
52,04/08/16 06:45:00 PM,21.700,,,,
53,04/08/16 07:00:00 PM,21.724,,,,
54,04/08/16 07:15:00 PM,21.724,,,,
55,04/08/16 07:30:00 PM,21.700,,,,
56,04/08/16 07:45:00 PM,21.700,,,,
57,04/08/16 08:00:00 PM,21.676,,,,
58,04/08/16 08:15:00 PM,21.652,,,,
59,04/08/16 08:30:00 PM,21.652,,,,
60,04/08/16 08:45:00 PM,21.604,,,,
61,04/08/16 09:00:00 PM,21.581,,,,
62,04/08/16 09:15:00 PM,21.557,,,,
63,04/08/16 09:30:00 PM,21.533,,,,
64,04/08/16 09:45:00 PM,21.509,,,,
65,04/08/16 10:00:00 PM,21.461,,,,
66,04/08/16 10:15:00 PM,21.437,,,,
67,04/08/16 10:30:00 PM,21.413,,,,
68,04/08/16 10:45:00 PM,21.366,,,,
69,04/08/16 11:00:00 PM,21.342,,,,
70,04/08/16 11:15:00 PM,21.318,,,,
71,04/08/16 11:30:00 PM,21.270,,,,
72,04/08/16 11:45:00 PM,21.246,,,,
73,04/09/16 12:00:00 AM,21.223,,,,
74,04/09/16 12:15:00 AM,21.175,,,,
75,04/09/16 12:30:00 AM,21.151,,,,
76,04/09/16 12:45:00 AM,21.127,,,,
77,04/09/16 01:00:00 AM,21.103,,,,
78,04/09/16 01:15:00 AM,21.079,,,,
79,04/09/16 01:30:00 AM,21.079,,,,
80,04/09/16 01:45:00 AM,21.056,,,,
81,04/09/16 02:00:00 AM,21.032,,,,
82,04/09/16 02:15:00 AM,21.008,,,,
83,04/09/16 02:30:00 AM,21.008,,,,
84,04/09/16 02:45:00 AM,20.984,,,,
85,04/09/16 03:00:00 AM,20.984,,,,
86,04/09/16 03:15:00 AM,20.960,,,,
87,04/09/16 03:30:00 AM,20.960,,,,
88,04/09/16 03:45:00 AM,20.960,,,,
89,04/09/16 04:00:00 AM,20.936,,,,
90,04/09/16 04:15:00 AM,20.936,,,,
91,04/09/16 04:30:00 AM,20.936,,,,
92,04/09/16 04:45:00 AM,20.936,,,,
93,04/09/16 05:00:00 AM,20.913,,,,
94,04/09/16 05:15:00 AM,20.913,,,,
95,04/09/16 05:30:00 AM,20.913,,,,
96,04/09/16 05:45:00 AM,20.913,,,,
97,04/09/16 06:00:00 AM,20.913,,,,
98,04/09/16 06:15:00 AM,20.889,,,,
99,04/09/16 06:30:00 AM,20.889,,,,
100,04/09/16 06:45:00 AM,20.889,,,,
101,04/09/16 07:00:00 AM,20.913,,,,
102,04/09/16 07:15:00 AM,20.913,,,,
103,04/09/16 07:30:00 AM,20.936,,,,
104,04/09/16 07:45:00 AM,20.960,,,,
105,04/09/16 08:00:00 AM,20.984,,,,
106,04/09/16 08:15:00 AM,21.008,,,,
107,04/09/16 08:30:00 AM,21.032,,,,
108,04/09/16 08:45:00 AM,21.056,,,,
109,04/09/16 09:00:00 AM,21.079,,,,
110,04/09/16 09:15:00 AM,21.103,,,,
111,04/09/16 09:30:00 AM,21.127,,,,
112,04/09/16 09:45:00 AM,21.175,,,,
113,04/09/16 10:00:00 AM,21.199,,,,
114,04/09/16 10:15:00 AM,21.223,,,,
115,04/09/16 10:30:00 AM,21.270,,,,
116,04/09/16 10:45:00 AM,21.294,,,,
117,04/09/16 11:00:00 AM,21.318,,,,
118,04/09/16 11:15:00 AM,21.366,,,,
119,04/09/16 11:30:00 AM,21.390,,,,
120,04/09/16 11:45:00 AM,21.390,,,,
121,04/09/16 12:00:00 PM,21.413,,,,
122,04/09/16 12:15:00 PM,21.413,,,,
123,04/09/16 12:30:00 PM,21.413,,,,
124,04/09/16 12:45:00 PM,21.413,,,,
125,04/09/16 01:00:00 PM,21.390,,,,
126,04/09/16 01:15:00 PM,21.390,,,,
127,04/09/16 01:30:00 PM,21.390,,,,
128,04/09/16 01:45:00 PM,21.390,,,,
129,04/09/16 02:00:00 PM,21.366,,,,
130,04/09/16 02:15:00 PM,21.366,,,,
131,04/09/16 02:30:00 PM,21.366,,,,
132,04/09/16 02:45:00 PM,21.366,,,,
133,04/09/16 03:00:00 PM,21.342,,,,
134,04/09/16 03:15:00 PM,21.366,,,,
135,04/09/16 03:30:00 PM,21.366,,,,
136,04/09/16 03:45:00 PM,21.366,,,,
137,04/09/16 04:00:00 PM,21.366,,,,
138,04/09/16 04:15:00 PM,21.366,,,,
139,04/09/16 04:30:00 PM,21.366,,,,
140,04/09/16 04:45:00 PM,21.366,,,,
141,04/09/16 05:00:00 PM,21.390,,,,
142,04/09/16 05:15:00 PM,21.390,,,,
143,04/09/16 05:30:00 PM,21.413,,,,
144,04/09/16 05:45:00 PM,21.413,,,,
145,04/09/16 06:00:00 PM,21.437,,,,
146,04/09/16 06:15:00 PM,21.437,,,,
147,04/09/16 06:30:00 PM,21.461,,,,
148,04/09/16 06:45:00 PM,21.461,,,,
149,04/09/16 07:00:00 PM,21.461,,,,
150,04/09/16 07:15:00 PM,21.461,,,,
151,04/09/16 07:30:00 PM,21.437,,,,
152,04/09/16 07:45:00 PM,21.437,,,,
153,04/09/16 08:00:00 PM,21.437,,,,
154,04/09/16 08:15:00 PM,21.437,,,,
155,04/09/16 08:30:00 PM,21.437,,,,
156,04/09/16 08:45:00 PM,21.437,,,,
157,04/09/16 09:00:00 PM,21.413,,,,
158,04/09/16 09:15:00 PM,21.413,,,,
159,04/09/16 09:30:00 PM,21.390,,,,
160,04/09/16 09:45:00 PM,21.390,,,,
161,04/09/16 10:00:00 PM,21.366,,,,
162,04/09/16 10:15:00 PM,21.342,,,,
163,04/09/16 10:30:00 PM,21.318,,,,
164,04/09/16 10:45:00 PM,21.294,,,,
165,04/09/16 11:00:00 PM,21.270,,,,
166,04/09/16 11:15:00 PM,21.246,,,,
167,04/09/16 11:30:00 PM,21.223,,,,
168,04/09/16 11:45:00 PM,21.199,,,,
169,04/10/16 12:00:00 AM,21.175,,,,
170,04/10/16 12:15:00 AM,21.151,,,,
171,04/10/16 12:30:00 AM,21.127,,,,
172,04/10/16 12:45:00 AM,21.127,,,,
173,04/10/16 01:00:00 AM,21.103,,,,
174,04/10/16 01:15:00 AM,21.079,,,,
175,04/10/16 01:30:00 AM,21.056,,,,
176,04/10/16 01:45:00 AM,21.032,,,,
177,04/10/16 02:00:00 AM,21.032,,,,
178,04/10/16 02:15:00 AM,21.008,,,,
179,04/10/16 02:30:00 AM,21.008,,,,
180,04/10/16 02:45:00 AM,20.984,,,,
181,04/10/16 03:00:00 AM,20.960,,,,
182,04/10/16 03:15:00 AM,20.960,,,,
183,04/10/16 03:30:00 AM,20.936,,,,
184,04/10/16 03:45:00 AM,20.936,,,,
185,04/10/16 04:00:00 AM,20.936,,,,
186,04/10/16 04:15:00 AM,20.913,,,,
187,04/10/16 04:30:00 AM,20.913,,,,
188,04/10/16 04:45:00 AM,20.889,,,,
189,04/10/16 05:00:00 AM,20.889,,,,
190,04/10/16 05:15:00 AM,20.865,,,,
191,04/10/16 05:30:00 AM,20.865,,,,
192,04/10/16 05:45:00 AM,20.841,,,,
193,04/10/16 06:00:00 AM,20.841,,,,
194,04/10/16 06:15:00 AM,20.817,,,,
195,04/10/16 06:30:00 AM,20.817,,,,
