"Plot Title: YB A"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10485400, SEN S/N: 10485400)","Coupler Detached (LGR S/N: 10485400)","Coupler Attached (LGR S/N: 10485400)","Stopped (LGR S/N: 10485400)","End Of File (LGR S/N: 10485400)"
1,04/08/16 06:00:00 AM,16.439,Logged,,,
2,04/08/16 06:15:00 AM,15.055,,,,
3,04/08/16 06:30:00 AM,14.170,,,,
4,04/08/16 06:45:00 AM,13.570,,,,
5,04/08/16 07:00:00 AM,13.161,,,,
6,04/08/16 07:15:00 AM,12.871,,,,
7,04/08/16 07:30:00 AM,12.654,,,,
8,04/08/16 07:45:00 AM,12.485,,,,
9,04/08/16 08:00:00 AM,12.364,,,,
10,04/08/16 08:15:00 AM,12.292,,,,
11,04/08/16 08:30:00 AM,12.243,,,,
12,04/08/16 08:45:00 AM,12.219,,,,
13,04/08/16 09:00:00 AM,12.268,,,,
14,04/08/16 09:15:00 AM,12.389,,,,
15,04/08/16 09:30:00 AM,12.509,,,,
16,04/08/16 09:45:00 AM,12.582,,,,
17,04/08/16 10:00:00 AM,12.654,,,,
18,04/08/16 10:15:00 AM,12.727,,,,
19,04/08/16 10:30:00 AM,12.799,,,,
20,04/08/16 10:45:00 AM,12.871,,,,
21,04/08/16 11:00:00 AM,13.016,,,,
22,04/08/16 11:15:00 AM,14.002,,,,
23,04/08/16 11:30:00 AM,15.509,,,,
24,04/08/16 11:45:00 AM,16.558,,,,
25,04/08/16 12:00:00 PM,17.320,,,,
26,04/08/16 12:15:00 PM,17.938,,,,
27,04/08/16 12:30:00 PM,18.438,,,,
28,04/08/16 12:45:00 PM,18.842,,,,
29,04/08/16 01:00:00 PM,19.175,,,,
30,04/08/16 01:15:00 PM,19.460,,,,
31,04/08/16 01:30:00 PM,19.698,,,,
32,04/08/16 01:45:00 PM,19.936,,,,
33,04/08/16 02:00:00 PM,20.126,,,,
34,04/08/16 02:15:00 PM,20.293,,,,
35,04/08/16 02:30:00 PM,20.460,,,,
36,04/08/16 02:45:00 PM,20.603,,,,
37,04/08/16 03:00:00 PM,20.722,,,,
38,04/08/16 03:15:00 PM,20.841,,,,
39,04/08/16 03:30:00 PM,20.960,,,,
40,04/08/16 03:45:00 PM,21.056,,,,
