"date","sitecode","sitename","region","latNorth","latSouth","lonEast","lonWest","rdate","day","month","year","temperature","temperature.interp","upw","upw.interp"
"1993-10-16","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9785,16,10,1993,11.63,11.63,17,17
"1993-10-17","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9786,17,10,1993,11.65,11.65,11,11
"1993-10-18","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9787,18,10,1993,11.38,11.38,3,3
"1993-10-19","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9788,19,10,1993,11.51,11.51,13,13
"1993-10-20","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9789,20,10,1993,11.31,11.31,-5,-5
"1993-10-21","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9790,21,10,1993,11.52,11.52,-35,-35
"1993-10-22","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9791,22,10,1993,11.77,11.77,-46,-46
"1993-10-23","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9792,23,10,1993,11.97,11.97,-44,-44
"1993-10-24","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9793,24,10,1993,11.95,11.95,18,18
"1993-10-25","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9794,25,10,1993,11.86,11.86,38,38
"1993-10-26","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9795,26,10,1993,11.82,11.82,-18,-18
"1993-10-27","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9796,27,10,1993,11.87,11.87,-3,-3
"1993-10-28","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9797,28,10,1993,12.04,12.04,16,16
"1993-10-29","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9798,29,10,1993,11.86,11.86,-1,-1
"1993-10-30","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9799,30,10,1993,11.74,11.74,3,3
"1993-10-31","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9800,31,10,1993,11.75,11.75,46,46
"1993-11-01","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9801,1,11,1993,11.41,11.41,15,15
"1993-11-02","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9802,2,11,1993,10.99,10.99,-20,-20
"1993-11-03","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9803,3,11,1993,10.99,10.99,31,31
"1993-11-04","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9804,4,11,1993,11.34,11.34,11,11
"1993-11-05","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9805,5,11,1993,11.21,11.21,14,14
"1993-11-06","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9806,6,11,1993,10.61,10.61,37,37
"1993-11-07","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9807,7,11,1993,9.99,9.99,32,32
"1993-11-08","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9808,8,11,1993,9.76,9.76,8,8
"1993-11-09","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9809,9,11,1993,9.91,9.91,-39,-39
"1993-11-10","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9810,10,11,1993,10.18,10.18,29,29
"1993-11-11","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9811,11,11,1993,10.11,10.11,53,53
"1993-11-12","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9812,12,11,1993,9.92,9.92,85,85
"1993-11-13","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9813,13,11,1993,9.84,9.84,65,65
"1993-11-14","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9814,14,11,1993,9.54,9.54,0,0
"1993-11-15","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9815,15,11,1993,9.27,9.27,-7,-7
"1993-11-16","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9816,16,11,1993,9.42,9.42,-4,-4
"1993-11-17","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9817,17,11,1993,9.55,9.55,10,10
"1993-11-18","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9818,18,11,1993,9.53,9.53,8,8
"1993-11-19","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9819,19,11,1993,9.57,9.57,2,2
"1993-11-20","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9820,20,11,1993,9.59,9.59,-28,-28
"1993-11-21","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9821,21,11,1993,9.43,9.43,0,0
"1993-11-22","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9822,22,11,1993,9.52,9.52,33,33
"1993-11-23","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9823,23,11,1993,9.14,9.14,3,3
"1993-11-24","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9824,24,11,1993,8.76,8.76,-57,-57
"1993-11-25","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9825,25,11,1993,8.47,8.47,-209,-209
"1993-11-26","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9826,26,11,1993,8.43,8.43,-309,-309
"1993-11-27","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9827,27,11,1993,8.57,8.57,-227,-227
"1993-11-28","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9828,28,11,1993,8.84,8.84,-218,-218
"1993-11-29","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9829,29,11,1993,8.94,8.94,-36,-36
"1993-11-30","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9830,30,11,1993,8.88,8.88,-177,-177
"1993-12-01","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9831,1,12,1993,9.19,9.19,-82,-82
"1993-12-02","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9832,2,12,1993,9.56,9.56,-126,-126
"1993-12-03","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9833,3,12,1993,9.59,9.59,-157,-157
"1993-12-04","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9834,4,12,1993,9.71,9.71,59,59
"1993-12-05","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9835,5,12,1993,9.64,9.64,-55,-55
"1993-12-06","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9836,6,12,1993,9.42,9.42,-213,-213
"1993-12-07","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9837,7,12,1993,9.49,9.49,-129,-129
"1993-12-08","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9838,8,12,1993,9.69,9.69,-204,-204
"1993-12-09","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9839,9,12,1993,9.94,9.94,-658,-658
"1993-12-10","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9840,10,12,1993,10.48,10.48,-128,-128
"1993-12-11","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9841,11,12,1993,10.41,10.41,21,21
"1993-12-12","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9842,12,12,1993,10.34,10.34,-446,-446
"1993-12-13","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9843,13,12,1993,10.28,10.28,-260,-260
"1993-12-14","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9844,14,12,1993,10.33,10.33,-1,-1
"1993-12-15","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9845,15,12,1993,10.32,10.32,-1,-1
"1993-12-16","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9846,16,12,1993,10.13,10.13,-58,-58
"1993-12-17","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9847,17,12,1993,9.94,9.94,-4,-4
"1993-12-18","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9848,18,12,1993,9.76,9.76,9,9
"1993-12-19","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9849,19,12,1993,9.55,9.55,15,15
"1993-12-20","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9850,20,12,1993,9.68,9.68,20,20
"1993-12-21","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9851,21,12,1993,9.94,9.94,16,16
"1993-12-22","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9852,22,12,1993,9.8,9.8,15,15
"1993-12-23","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9853,23,12,1993,9.69,9.69,-38,-38
"1993-12-24","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9854,24,12,1993,9.58,9.58,-127,-127
"1993-12-25","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9855,25,12,1993,9.71,9.71,-66,-66
"1993-12-26","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9856,26,12,1993,9.69,9.69,-28,-28
"1993-12-27","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9857,27,12,1993,9.49,9.49,-103,-103
"1993-12-28","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9858,28,12,1993,9.49,9.49,-139,-139
"1993-12-29","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9859,29,12,1993,9.58,9.58,-293,-293
"1993-12-30","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9860,30,12,1993,NaN,9.590756302521,-103,-103
"1993-12-31","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9861,31,12,1993,NaN,9.60151260504202,-313,-313
"1994-01-01","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9862,1,1,1994,NaN,9.61226890756303,-102,-102
"1994-01-02","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9863,2,1,1994,NaN,9.62302521008403,-157,-157
"1994-01-03","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9864,3,1,1994,NaN,9.63378151260504,-197,-197
"1994-01-04","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9865,4,1,1994,NaN,9.64453781512605,-75,-75
"1994-01-05","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9866,5,1,1994,NaN,9.65529411764706,62,62
"1994-01-06","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9867,6,1,1994,NaN,9.66605042016807,8,8
"1994-01-07","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9868,7,1,1994,NaN,9.67680672268908,-213,-213
"1994-01-08","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9869,8,1,1994,NaN,9.68756302521008,-77,-77
"1994-01-09","BBYX00","Boiler_Bay","Oregon",44.83171,44.83033,-124.06078,-124.05929,9870,9,1,1994,NaN,9.6983193277311,-10,-10
