"date","sitecode","sitename","region","latNorth","latSouth","lonEast","lonWest","rdate","day","month","year","temperature","temperature.interp","upw","upw.interp"
"1999-09-10","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11940,10,9,1999,10.53,10.53,290,290
"1999-09-11","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11941,11,9,1999,10.34,10.34,72,72
"1999-09-12","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11942,12,9,1999,9.81,9.81,-5,-5
"1999-09-13","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11943,13,9,1999,10,10,12,12
"1999-09-14","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11944,14,9,1999,10,10,75,75
"1999-09-15","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11945,15,9,1999,10.49,10.49,221,221
"1999-09-16","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11946,16,9,1999,10.36,10.36,202,202
"1999-09-17","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11947,17,9,1999,10.69,10.69,165,165
"1999-09-18","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11948,18,9,1999,10.37,10.37,78,78
"1999-09-19","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11949,19,9,1999,9.41,9.41,57,57
"1999-09-20","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11950,20,9,1999,9.48,9.48,47,47
"1999-09-21","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11951,21,9,1999,9.79,9.79,23,23
"1999-09-22","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11952,22,9,1999,10.51,10.51,50,50
"1999-09-23","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11953,23,9,1999,10.59,10.59,125,125
"1999-09-24","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11954,24,9,1999,10.73,10.73,99,99
"1999-09-25","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11955,25,9,1999,10.1,10.1,244,244
"1999-09-26","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11956,26,9,1999,10.26,10.26,223,223
"1999-09-27","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11957,27,9,1999,10.12,10.12,167,167
"1999-09-28","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11958,28,9,1999,9.88,9.88,29,29
"1999-09-29","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11959,29,9,1999,9.97,9.97,61,61
"1999-09-30","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11960,30,9,1999,9.8,9.8,152,152
"1999-10-01","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11961,1,10,1999,9.45,9.45,98,98
"1999-10-02","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11962,2,10,1999,9.23,9.23,39,39
"1999-10-03","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11963,3,10,1999,8.96,8.96,1,1
"1999-10-04","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11964,4,10,1999,8.75,8.75,-20,-20
"1999-10-05","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11965,5,10,1999,9.45,9.45,-57,-57
"1999-10-06","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11966,6,10,1999,9.82,9.82,22,22
"1999-10-07","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11967,7,10,1999,10.02,10.02,4,4
"1999-10-08","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11968,8,10,1999,10.47,10.47,21,21
"1999-10-09","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11969,9,10,1999,10.32,10.32,122,122
"1999-10-10","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11970,10,10,1999,10.22,10.22,30,30
"1999-10-11","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11971,11,10,1999,9.81,9.81,9,9
"1999-10-12","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11972,12,10,1999,9.88,9.88,16,16
"1999-10-13","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11973,13,10,1999,10.46,10.46,82,82
"1999-10-14","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11974,14,10,1999,10.35,10.35,389,389
"1999-10-15","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11975,15,10,1999,9.86,9.86,281,281
"1999-10-16","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11976,16,10,1999,9.4,9.4,NaN,193.333333333333
"1999-10-17","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11977,17,10,1999,9.28,9.28,NaN,105.666666666667
"1999-10-18","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11978,18,10,1999,9.32,9.32,18,18
"1999-10-19","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11979,19,10,1999,8.83,8.83,NaN,10
"1999-10-20","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11980,20,10,1999,8.59,8.59,2,2
"1999-10-21","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11981,21,10,1999,8.89,8.89,0,0
"1999-10-22","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11982,22,10,1999,9.05,9.05,-7,-7
"1999-10-23","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11983,23,10,1999,9.05,9.05,-45,-45
"1999-10-24","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11984,24,10,1999,10.2,10.2,5,5
"1999-10-25","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11985,25,10,1999,10.06,10.06,-16,-16
"1999-10-26","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11986,26,10,1999,9.86,9.86,65,65
"1999-10-27","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11987,27,10,1999,9.88,9.88,-543,-543
"1999-10-28","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11988,28,10,1999,10.63,10.63,-31,-31
"1999-10-29","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11989,29,10,1999,10.77,10.77,-10,-10
"1999-10-30","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11990,30,10,1999,10.64,10.64,-29,-29
"1999-10-31","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11991,31,10,1999,10.59,10.59,200,200
"1999-11-01","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11992,1,11,1999,10.6,10.6,29,29
"1999-11-02","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11993,2,11,1999,10.29,10.29,2,2
"1999-11-03","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11994,3,11,1999,10.26,10.26,-17,-17
"1999-11-04","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11995,4,11,1999,10.33,10.33,70,70
"1999-11-05","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11996,5,11,1999,10.39,10.39,-196,-196
"1999-11-06","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11997,6,11,1999,10.85,10.85,-282,-282
"1999-11-07","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11998,7,11,1999,10.73,10.73,-161,-161
"1999-11-08","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,11999,8,11,1999,10.72,10.72,-225,-225
"1999-11-09","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12000,9,11,1999,10.78,10.78,-447,-447
"1999-11-10","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12001,10,11,1999,11.06,11.06,-160,-160
"1999-11-11","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12002,11,11,1999,11.21,11.21,-421,-421
"1999-11-12","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12003,12,11,1999,11.63,11.63,-58,-58
"1999-11-13","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12004,13,11,1999,11.54,11.54,-11,-11
"1999-11-14","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12005,14,11,1999,11.31,11.31,-82,-82
"1999-11-15","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12006,15,11,1999,11.56,11.56,-295,-295
"1999-11-16","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12007,16,11,1999,11.67,11.67,-19,-19
"1999-11-17","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12008,17,11,1999,11.36,11.36,-44,-44
"1999-11-18","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12009,18,11,1999,11.25,11.25,-398,-398
"1999-11-19","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12010,19,11,1999,11.29,11.29,-181,-181
"1999-11-20","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12011,20,11,1999,11.41,11.41,6,6
"1999-11-21","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12012,21,11,1999,11.22,11.22,53,53
"1999-11-22","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12013,22,11,1999,11.3,11.3,-64,-64
"1999-11-23","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12014,23,11,1999,11.24,11.24,-26,-26
"1999-11-24","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12015,24,11,1999,11.29,11.29,-122,-122
"1999-11-25","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12016,25,11,1999,11.37,11.37,-150,-150
"1999-11-26","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12017,26,11,1999,11.51,11.51,-9,-9
"1999-11-27","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12018,27,11,1999,11.32,11.32,-36,-36
"1999-11-28","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12019,28,11,1999,11.43,11.43,-224,-224
"1999-11-29","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12020,29,11,1999,11.4,11.4,-329,-329
"1999-11-30","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12021,30,11,1999,11.2,11.2,-149,-149
"1999-12-01","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12022,1,12,1999,10.97,10.97,-171,-171
"1999-12-02","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12023,2,12,1999,11.1,11.1,29,29
"1999-12-03","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12024,3,12,1999,11.32,11.32,-10,-10
"1999-12-04","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12025,4,12,1999,11.32,11.32,-145,-145
"1999-12-05","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12026,5,12,1999,11.23,11.23,-69,-69
"1999-12-06","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12027,6,12,1999,11.2,11.2,-80,-80
"1999-12-07","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12028,7,12,1999,11.23,11.23,5,5
"1999-12-08","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12029,8,12,1999,11.12,11.12,-294,-294
"1999-12-09","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12030,9,12,1999,10.74,10.74,13,13
"1999-12-10","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12031,10,12,1999,11.09,11.09,-1,-1
"1999-12-11","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12032,11,12,1999,10.88,10.88,-8,-8
"1999-12-12","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12033,12,12,1999,10.93,10.93,-51,-51
"1999-12-13","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12034,13,12,1999,10.93,10.93,29,29
"1999-12-14","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12035,14,12,1999,10.86,10.86,-114,-114
"1999-12-15","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12036,15,12,1999,10.67,10.67,-112,-112
"1999-12-16","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12037,16,12,1999,10.65,10.65,-31,-31
"1999-12-17","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12038,17,12,1999,10.86,10.86,-92,-92
"1999-12-18","CBLX00","Cape_Blanco","Oregon",42.84025,42.83969,-124.56512,-124.5658,12039,18,12,1999,10.88,10.88,88,88
